#{"t_start": 1783500516.928746, "env_id": "None"}
r,l,t
-49.749218,41,0.024499
-54.828729,228,0.119396
-52.531829,36,0.133659
-49.492939,28,0.145323
-48.953399,13,0.151109
-46.625547,150,0.216752
-49.077804,20,0.398566
-48.345077,82,0.434043
-48.061894,222,0.528442
-47.426163,20,0.536307
-49.708332,19,0.545181
-44.777842,87,0.581857
-51.768047,62,0.610144
-51.293116,48,0.832417
-52.200837,55,0.854868
-51.663212,189,0.9356
-51.588977,32,0.948389
-50.658931,26,0.958924
-47.173476,127,1.013784
106.179181,76,1.214997
-52.154182,56,1.23766
-47.215835,45,1.256431
6.832343,300,1.386266
105.942389,171,1.68732
-0.763443,300,1.812627
-48.694899,54,1.835708
105.782089,110,2.060494
-44.700074,114,2.111459
-44.00638,159,2.175777
105.624944,216,2.44297
-48.831006,141,2.502219
-46.290504,99,2.543879
106.88614,259,2.812975
-44.800145,87,2.848683
105.861761,139,2.907548
-42.684983,217,2.997201
106.23224,70,3.363083
107.08418,132,3.434751
-45.387128,198,3.52245
105.71141,296,3.918492
106.841182,100,3.965034
106.659148,100,4.006704
107.108319,173,4.080552
106.048482,193,4.504925
105.901485,136,4.574003
-48.905901,22,4.58592
-45.683058,39,4.609352
0.277822,300,5.010823
106.456427,84,5.0484
-43.081479,159,5.12245
106.025812,141,5.454028
107.627955,104,5.501958
106.681208,112,5.556582
4.191863,300,6.003377
106.451397,79,6.04478
-44.581322,123,6.101285
-45.08387,82,6.144755
106.245922,58,6.172825
107.140614,104,6.254246
108.64171,78,6.771771
107.173389,97,6.83403
107.468771,65,6.871753
106.481527,64,6.906014
109.150895,105,6.968899
107.49652,93,7.020357
106.127632,91,7.45098
106.890488,76,7.495993
107.614368,112,7.565652
106.580663,98,7.630703
107.330001,104,7.689319
106.687066,75,7.738046
-44.789553,192,8.154228
106.184077,101,8.219526
107.974858,97,8.279611
106.273477,94,8.330524
108.780915,129,8.723055
108.162122,134,8.814263
106.086601,197,8.951214
107.165099,106,9.321602
106.691194,170,9.431491
106.708947,92,9.491419
108.271296,116,9.559824
107.598426,103,9.629112
107.174389,70,10.040431
-44.455854,165,10.13392
108.096966,125,10.21936
107.946663,102,10.287196
106.898767,100,10.652238
106.662601,118,10.72061
106.960036,63,10.762917
105.602719,166,10.871544
107.138216,80,10.92548
108.601507,122,11.35119
107.66745,112,11.418647
106.728151,79,11.461458
106.964286,95,11.514177
106.967782,70,11.54896
107.700947,67,11.583155
106.650414,59,12.02736
107.451521,78,12.096031
-45.808114,97,12.166425
107.824595,99,12.231122
-49.69629,64,12.266141
-44.193808,165,12.713952
106.454882,80,12.767034
106.095417,100,12.819447
106.33488,132,12.906071
-43.600477,95,12.960709
107.200644,133,13.396607
107.460398,101,13.458137
107.109167,131,13.549827
3.919385,300,14.051573
107.919452,78,14.093766
106.084282,234,14.220396
106.647768,67,14.254796
107.587459,69,14.621309
108.939417,75,14.66318
108.595073,95,14.715674
108.199068,101,14.770275
107.552647,75,14.827108
106.763912,84,14.892903
106.893783,63,15.225488
106.342314,65,15.265541
-44.411376,87,15.31768
107.396604,72,15.36164
108.092286,90,15.40332
108.358902,83,15.445548
106.822548,96,15.492636
106.882614,67,15.90851
107.294287,83,15.945307
106.850448,66,15.97402
106.262885,70,16.00814
108.063354,78,16.045213
108.457934,96,16.086297
-44.874594,81,16.34965
106.898107,69,16.38014
107.697109,84,16.418867
107.970747,110,16.466706
107.514551,220,16.56631
107.368433,69,16.815024
108.206172,78,16.873958
107.339149,58,16.928351
107.578111,79,16.996215
107.509868,104,17.066176
-48.760887,7,17.069585
107.089868,55,17.117564
108.519448,91,17.465721
107.185164,88,17.525073
106.935875,68,17.572686
107.100755,68,17.627306
108.268104,66,17.683024
106.973226,96,17.745235
108.792773,113,18.099359
-48.459523,14,18.105197
106.973553,59,18.134787
106.873431,66,18.166778
109.728725,77,18.202731
106.440168,53,18.227944
106.954939,66,18.257223
108.117936,88,18.299461
-42.724021,75,18.336704
106.464612,53,18.620794
106.69672,121,18.682945
107.738828,72,18.715066
107.766502,107,18.763064
106.958959,62,18.794097
106.491255,53,18.815844
107.483751,72,19.02409
106.877692,53,19.047395
107.839672,77,19.079261
107.197365,85,19.115512
