#{"t_start": 1783500481.003186, "env_id": "None"}
r,l,t
-47.546303,79,0.043808
-48.580834,106,0.087942
-49.64587,163,0.158845
-49.744189,78,0.194147
-49.174823,61,0.222071
-46.670782,50,0.483356
-45.031522,62,0.513425
-46.817525,98,0.563615
-47.898146,46,0.587114
-47.987418,90,0.630867
105.993346,206,0.974898
-44.800528,119,1.032763
-50.567621,137,1.092932
-49.605133,100,1.140797
-50.2348,41,1.159885
-46.887154,32,1.175144
-46.48888,54,1.197516
-51.63983,143,1.54041
-47.13567,188,1.635992
106.678033,82,1.682964
-49.469088,16,1.692808
-46.414113,142,2.114294
3.406149,300,2.250162
107.148803,117,2.321803
4.841532,300,2.873406
-47.547987,146,2.945912
-49.822824,83,2.992386
106.677792,160,3.358531
-46.132894,120,3.428551
-42.493148,192,3.515636
106.770052,132,3.824629
-46.20126,40,3.845083
-49.078052,91,3.885393
108.774941,111,3.945033
105.953458,175,4.035949
106.076818,200,4.381275
-46.033008,270,4.512629
107.899134,91,4.810215
105.5728,226,4.925059
107.612125,183,5.013877
105.944507,210,5.462112
105.458496,220,5.579311
105.941664,109,5.630924
-44.093702,134,5.976352
-44.466962,124,6.041609
108.235117,90,6.095572
106.133126,190,6.228645
105.775452,287,6.704528
2.595454,300,7.23826
105.188962,256,7.393541
106.723163,84,7.440237
107.317062,231,7.860261
107.461636,106,7.924872
106.888632,111,7.979253
-44.40618,118,8.039785
107.044746,70,8.07749
107.052964,87,8.423941
-45.214013,207,8.582168
-43.794975,108,8.639553
-43.797824,82,8.678185
107.0318,112,9.011003
-45.543229,257,9.165749
107.151905,136,9.243859
-44.749904,157,9.628115
106.655545,105,9.680166
107.322177,63,9.720221
-45.108738,78,9.771948
105.311355,212,10.208105
106.867479,70,10.246598
107.243163,66,10.276467
107.168122,156,10.355875
108.183448,89,10.405409
107.988163,108,10.755978
106.344277,73,10.794298
106.938576,61,10.829128
106.815397,117,10.892673
-43.973328,193,10.994628
108.303521,147,11.372892
106.815259,75,11.413154
107.051548,64,11.49839
-46.307451,30,11.601937
106.926282,70,11.655047
107.261727,98,11.720254
105.643914,201,12.115793
-48.854888,43,12.139039
107.132599,68,12.17189
106.902506,84,12.213349
106.649871,113,12.270554
106.893629,85,12.848838
106.650243,88,12.898832
107.40448,94,12.945883
107.289468,96,13.003811
108.177821,117,13.064946
107.642484,91,13.111656
106.742175,97,13.631515
107.080722,110,13.708097
-50.021024,9,13.71354
108.639372,204,13.814357
106.611723,55,13.842901
106.42284,89,14.182007
108.13515,82,14.242528
106.381705,69,14.290095
109.306829,86,14.341549
107.290383,63,14.374437
106.764672,77,14.415746
107.108986,52,14.452633
107.689061,66,14.753855
-40.704118,122,14.810375
106.949362,64,14.84231
107.180748,75,14.88087
107.614962,64,14.913454
107.67985,85,14.957207
108.263354,94,15.298111
-42.265501,65,15.330643
107.901668,67,15.363649
107.275353,74,15.398527
109.597504,82,15.444009
107.329098,87,15.490111
107.408984,80,15.529658
106.289675,87,15.842666
-42.81245,84,15.884345
107.218637,51,15.907538
-46.737225,29,15.922079
108.747651,80,15.959288
106.986051,61,15.989113
106.687032,56,16.013229
107.332071,73,16.049141
106.659809,90,16.355321
106.292739,68,16.393693
108.574815,80,16.440112
-46.131212,59,16.474577
106.763883,75,16.515501
107.097189,68,16.54697
107.367076,74,16.580783
107.281021,92,16.892267
107.044622,59,16.921916
108.234244,68,16.952432
107.280981,54,16.982259
107.62933,62,17.014782
108.683257,67,17.050186
107.262058,81,17.091624
108.540179,95,17.364859
107.282868,55,17.391078
106.500637,51,17.413282
107.660121,64,17.441035
-43.713203,75,17.472435
108.177452,73,17.504489
106.993243,83,17.540668
108.305365,67,17.569284
-47.662317,22,17.754974
107.779783,75,17.786233
107.390686,96,17.827474
107.021527,73,17.859931
108.425768,76,17.893203
