#{"t_start": 1783500516.929131, "env_id": "None"}
r,l,t
-46.373261,110,0.052803
-52.276217,25,0.063908
-50.218939,29,0.075795
-49.03753,22,0.084156
-52.256904,50,0.1045
-49.070577,37,0.120596
-48.091747,21,0.1292
-48.905779,11,0.133405
-49.780808,66,0.162107
-49.68676,51,0.184174
-42.458019,82,0.220197
-46.116274,47,0.413086
-49.575227,93,0.45284
-46.822085,101,0.495688
-51.027998,33,0.510231
-50.264442,46,0.529744
-53.18831,173,0.603936
-46.047669,156,0.873055
-48.487087,17,0.880434
-48.188181,47,0.900979
-51.915962,37,0.916058
-51.23484,63,0.942533
-46.600668,187,1.020922
-50.512274,38,1.206471
3.112642,300,1.334185
3.704412,300,1.692221
4.054916,300,1.816279
105.408294,200,2.079456
3.117628,300,2.203672
-44.45875,184,2.459392
107.556254,86,2.495894
106.664586,143,2.554564
2.223687,300,2.841746
107.040881,68,2.869586
-46.122128,64,2.897867
107.709557,168,2.966817
106.048561,115,3.01316
-46.524254,83,3.398321
107.548135,93,3.442805
4.284372,300,3.578818
108.333639,142,3.903523
105.235613,166,3.977501
3.067713,300,4.424565
106.703834,144,4.511727
105.162393,198,4.612713
-44.143016,99,4.664535
108.282353,91,4.95402
105.863471,222,5.064101
107.859939,65,5.096113
107.104204,65,5.126836
104.965713,271,5.516617
107.483839,114,5.577945
106.348236,100,5.629735
106.005845,145,5.993138
106.484962,58,6.023778
107.256895,60,6.052475
106.236012,124,6.112856
107.213705,67,6.147611
105.994737,238,6.777421
-46.260305,53,6.811988
106.513468,103,6.870391
-45.328966,146,6.947736
106.244156,100,7.012517
-43.95057,210,7.510649
106.730184,79,7.561657
107.936099,79,7.613504
107.250192,102,7.672358
106.59179,135,8.058486
107.357113,95,8.111304
106.020573,146,8.204678
106.451566,147,8.294344
106.491321,60,8.327886
-47.010527,42,8.673167
108.398476,73,8.714641
2.362916,300,8.920436
107.636748,68,8.962896
107.879016,87,9.320725
108.873948,95,9.376325
-46.305114,46,9.414805
107.783558,115,9.486727
4.117431,300,10.04343
2.282348,300,10.229924
107.811826,81,10.283755
106.373659,55,10.3157
107.985997,78,10.664478
108.660779,84,10.716834
107.901081,86,10.782114
105.433479,283,11.297657
106.603959,75,11.353722
106.998826,89,11.410119
107.863516,95,11.460061
-44.31288,175,11.55238
-42.260684,84,11.997764
-45.05231,69,12.054552
-48.199843,30,12.086968
107.417945,105,12.163795
106.897304,52,12.188061
-46.048964,110,12.263023
106.01844,130,12.693338
-49.107797,6,12.696439
-46.905249,46,12.719632
107.404833,103,12.785408
-43.461761,103,12.84601
105.687378,118,12.918182
106.458096,103,12.977731
106.859188,103,13.397582
106.34238,69,13.438445
107.475918,89,13.494884
-45.119937,51,13.53545
106.548361,90,13.591829
106.547643,88,13.647824
106.807374,94,14.018737
5.014328,300,14.185963
106.553864,196,14.619974
107.247232,61,14.652768
-45.602521,200,14.764693
106.92332,64,14.809464
106.129011,157,14.919218
106.889029,70,15.259615
107.300285,107,15.327544
107.99383,183,15.420125
109.736489,85,15.460533
107.839694,89,15.887477
107.703498,130,15.948741
106.377205,96,15.993881
-43.896723,88,16.034495
108.401,78,16.068199
106.913574,74,16.101066
106.289496,94,16.369711
106.325471,109,16.419725
107.339896,78,16.45434
107.50454,74,16.486813
106.73876,70,16.519827
-46.037725,70,16.550456
109.407163,88,16.806858
109.700785,91,16.87098
107.875723,78,16.943139
106.969868,89,17.018233
107.846586,77,17.066027
-43.972514,113,17.177236
107.421111,52,17.471003
107.133203,54,17.512522
106.689087,86,17.570438
107.218451,63,17.619768
107.039995,76,17.684111
-48.033896,19,17.699346
107.508735,75,17.744286
107.34079,59,17.782214
106.687301,58,18.100362
107.156764,81,18.140632
107.576652,71,18.174087
107.737956,63,18.204044
107.001,59,18.230956
107.244979,58,18.257074
106.908672,61,18.287028
106.326425,117,18.602716
107.276034,84,18.644366
108.772274,81,18.685342
107.978207,70,18.716659
106.916431,72,18.748115
107.203338,55,18.774386
106.499563,68,18.805464
107.660421,72,18.835993
107.731971,81,19.049322
108.676453,64,19.075927
107.806441,77,19.108485
-46.206504,27,19.119517
108.822819,72,19.151786
106.830929,85,19.187412
108.872747,82,19.226187
106.567732,50,19.446492
107.0985,60,19.470342
106.860537,50,19.494716
107.866085,78,19.527604
108.449778,83,19.563816
106.822896,51,19.586068
107.213747,60,19.618741
107.874918,49,19.64302
108.277593,78,19.881757
106.987981,57,19.913673
107.459451,62,19.940234
107.810187,72,19.971
-42.557689,74,20.003249
108.594876,76,20.036707
107.315761,58,20.063186
107.743387,96,20.279824
107.906561,66,20.308378
107.194423,62,20.333644
108.494433,84,20.374093
-46.040777,38,20.390022
-44.9059,113,20.436998
106.959898,60,20.461431
-43.458859,67,20.488992
106.858344,68,20.721931
107.076765,52,20.749657
108.680265,79,20.790824
107.262022,61,20.822845
-47.9854,18,20.831666
108.018115,65,20.86279
-46.336124,34,20.883823
107.796988,66,20.916013
107.977238,68,20.944383
107.449323,56,21.14212
107.23714,61,21.166269
-45.833622,28,21.177781
-48.057265,15,21.183545
109.092728,78,21.214711
107.318354,72,21.244064
107.037894,52,21.263418
106.7783,52,21.281086
108.813176,62,21.30299
106.639461,57,21.323299
106.855802,55,21.475557
106.199625,67,21.499369
107.349987,56,21.51988
106.699818,72,21.546725
107.158513,77,21.574623
107.725776,70,21.60032
107.281449,63,21.624222
107.485007,50,21.64347
106.901221,56,21.968271
108.256949,64,22.020209
107.834426,59,22.068709
107.56431,45,22.102713
107.909036,59,22.146526
106.734813,46,22.176896
107.277344,53,22.211712
106.991295,57,22.235634
106.55039,53,22.26067
107.461896,50,23.23353
107.365348,58,23.327839
107.649797,59,23.486278
107.038655,49,23.546255
107.18037,53,23.603
107.892988,58,23.641676
107.299926,55,23.859724
107.506081,54,23.938654
107.050969,46,24.009915
107.751397,55,24.58536
107.343808,74,24.725773
107.352648,48,24.798964
108.893324,54,24.907669
106.322165,53,24.980015
107.435997,53,25.082229
107.80989,52,25.187266
106.60775,52,25.262461
106.699698,44,25.302527
109.101871,76,25.385474
108.083393,54,26.213868
107.562059,49,26.274177
108.605352,52,26.318618
107.404381,52,26.360092
107.750613,63,26.41414
-45.818712,42,26.476623
-47.128593,26,26.530427
107.935122,62,26.635985
106.481197,44,26.702137
107.213891,45,26.761716
107.550663,48,27.306779
108.49945,56,27.403036
108.79785,56,27.469719
106.48359,41,27.499065
107.47018,49,27.529348
107.366183,46,27.554136
106.959796,39,27.57687
107.291391,67,27.626687
106.308126,63,27.658573
106.922128,43,27.684561
106.770801,56,27.967811
106.936393,42,27.996122
106.557555,43,28.036883
106.826908,49,28.070571
107.031783,50,28.118073
-47.42302,20,28.137096
107.345388,45,28.200599
107.96993,60,28.253067
107.703065,54,28.288045
107.269474,44,28.321368
108.945635,61,28.361655
-44.859394,41,29.157105
108.099598,61,29.212756
108.152312,59,29.277076
107.605553,46,29.342601
107.879392,65,29.518175
107.29359,48,29.597463
107.570813,75,29.727519
109.75463,60,29.84384
107.334831,51,29.952477
107.578956,43,30.726628
108.371044,49,30.773671
107.069827,42,30.802863
107.883702,54,30.842139
107.608419,53,30.885224
-48.02317,14,30.897536
107.645899,55,30.943884
107.175599,46,30.976115
109.811512,94,31.048752
107.654392,55,31.094903
107.341285,45,31.831388
109.010117,58,31.934137
106.51826,36,31.983169
107.482957,47,32.044457
107.644328,49,32.125078
107.383522,48,32.190754
107.240405,47,32.254108
107.641577,45,32.321076
106.408317,40,32.39471
106.952273,43,32.460413
107.641378,48,32.512485
108.940043,70,33.138967
107.720527,59,33.223585
108.720584,52,33.311353
108.559671,62,33.407043
107.282057,48,33.504017
109.286053,60,33.573779
107.188946,39,33.622955
107.547471,49,33.67681
107.301445,46,33.732944
107.905005,51,33.795761
106.473424,39,34.280755
109.184798,55,34.329812
107.063591,44,34.357368
108.733294,58,34.397226
106.389481,58,34.435552
107.412874,47,34.469016
107.393621,47,34.494126
109.085707,54,34.518271
107.158786,37,34.537345
107.456886,41,34.566416
108.138665,53,35.00945
108.432826,55,35.061539
107.808349,54,35.116584
109.287274,59,35.216349
106.937592,49,35.26259
107.218792,56,35.314949
107.157815,46,35.341574
107.728217,46,35.369728
106.779738,41,35.408428
106.644575,35,35.445619
107.713833,59,35.50021
108.57722,48,35.799926
108.207875,44,35.830037
106.731128,40,35.849601
107.850786,59,35.877464
107.738157,42,35.896306
108.088362,54,35.920016
108.119615,52,35.941874
107.483065,44,35.959783
107.785427,47,35.981774
107.303189,49,36.010415
-46.146397,26,36.023963
107.385304,42,36.276
107.45167,43,36.314379
106.601818,34,36.332181
108.144122,52,36.395741
107.085467,43,36.436694
106.83029,36,36.477989
108.361194,46,36.50756
107.480103,41,36.530769
109.221259,55,36.560815
108.961151,51,36.587558
107.428261,39,36.609124
107.49557,40,36.633416
107.21085,40,38.220485
107.45318,42,38.270375
106.870217,40,38.33684
108.611414,47,38.437419
107.749899,47,38.513992
108.157012,47,38.588134
107.496153,41,38.650844
-48.899807,8,38.659719
107.000405,39,38.730218
107.444766,50,38.80497
108.295685,45,38.864529
107.855451,51,38.964284
107.194137,36,39.535831
106.709555,41,39.561526
107.055981,40,39.584031
107.239954,39,39.606663
-44.573333,34,39.625485
107.425267,61,39.653471
107.435848,48,39.679053
107.686846,43,39.700621
108.168283,44,39.726613
109.820542,57,39.753502
-45.038237,33,39.773686
108.640796,48,39.80282
107.568964,56,40.162527
-42.328078,50,40.18992
108.834475,47,40.219876
107.729929,39,40.242137
107.383627,41,40.263303
107.577175,44,40.28392
106.584732,35,40.300575
-45.665009,30,40.314873
107.856801,47,40.336221
