#{"t_start": 1783500437.095851, "env_id": "None"}
r,l,t
-50.518999,35,0.685678
-51.310043,25,0.698946
-49.637482,49,0.7238
-48.573746,62,0.755046
-51.460626,56,0.779606
-46.765556,57,0.804694
-49.473345,29,0.819
-50.332824,45,0.839116
-49.034924,27,0.851207
-52.003928,53,0.874457
-50.555256,18,0.882308
-52.306414,110,1.184511
-50.785826,52,1.207995
-49.620291,62,1.235541
-50.075313,43,1.254981
-52.775209,133,1.323203
-47.159878,27,1.33611
108.047481,138,1.397669
-51.753951,151,1.68735
-46.636432,95,1.730079
-47.426132,64,1.756298
-50.043037,27,1.769267
-49.917058,39,1.784743
-48.971582,143,2.057143
107.647983,120,2.105855
4.43201,300,2.241028
-49.725677,46,2.264518
2.697701,300,2.655319
2.726628,300,3.003087
1.341254,300,3.137457
0.459538,300,3.504797
3.031069,300,3.649149
-1.181079,300,4.030038
4.45834,300,4.386506
3.773515,300,4.524721
4.302882,300,4.88883
104.473681,249,4.998435
107.139214,131,5.05694
-45.732109,131,5.343221
3.391565,300,5.475286
105.81854,193,5.784577
-45.780302,108,5.829339
2.612504,300,5.969342
4.762947,300,6.330213
-46.032765,235,6.432429
-48.489224,132,6.714971
-43.445735,160,6.786417
106.591014,140,6.84476
106.228527,105,7.137024
107.151949,172,7.214911
105.780604,164,7.287832
106.497623,216,7.619362
106.341118,143,7.684295
105.999212,176,7.759025
105.206677,204,8.067764
107.268097,168,8.140894
105.650292,140,8.205599
105.310271,152,8.497531
106.991523,123,8.552931
108.331876,105,8.599215
107.001153,120,8.652162
106.832608,132,8.70846
106.275186,88,8.973926
108.726328,149,9.040549
107.041843,137,9.100385
106.246153,80,9.136962
106.248896,153,9.437203
107.43025,133,9.496732
106.633616,83,9.532766
106.928865,153,9.600799
106.247074,113,9.874996
-44.788668,195,9.965089
106.075229,101,10.007589
107.810694,111,10.055957
105.557023,151,10.341873
108.7,140,10.407507
107.491542,188,10.491549
106.540989,151,10.800596
107.023085,108,10.846125
-44.02462,127,10.903505
106.81698,93,10.948624
108.288502,115,11.001809
107.895677,76,11.263393
107.055454,69,11.293648
106.195111,207,11.384295
107.881636,140,11.445565
107.88584,101,11.716783
106.794681,105,11.761403
-46.834546,49,11.781745
106.679304,78,11.817744
106.43742,95,11.858709
107.440209,66,11.891104
108.787696,106,12.170823
