#{"t_start": 1783500437.09629, "env_id": "None"}
r,l,t
-46.957085,38,0.687063
-52.794665,114,0.746854
-53.52558,49,0.767435
-48.489169,23,0.777332
-49.644126,83,0.816165
-50.224733,20,0.823781
-48.665918,15,0.831334
-45.814729,40,0.849541
-48.675339,82,0.885234
-47.61875,76,1.172458
-51.889152,91,1.213783
-51.202391,25,1.223216
-52.179398,62,1.252426
-45.244207,47,1.274188
-52.154898,47,1.303604
-48.006304,25,1.315213
-45.459327,56,1.339618
-51.047214,28,1.352214
-48.970234,58,1.380204
-49.167892,21,1.388224
-47.151296,91,1.652196
-50.462565,72,1.683451
-51.060798,20,1.692591
-50.680765,82,1.727874
-45.649052,188,1.808188
-0.664597,300,2.148029
-52.621269,114,2.199046
-45.174215,197,2.545323
3.792276,300,2.679562
-48.990629,30,2.69078
0.381302,300,3.039604
-49.680408,182,3.121893
1.340657,300,3.490688
-45.692518,70,3.527737
-1.402193,300,3.666696
3.746946,300,4.047996
-44.781584,170,4.123213
105.269136,201,4.435736
-49.116304,157,4.51193
105.754411,227,4.612703
4.170227,300,4.971654
106.630077,195,5.061649
106.627208,277,5.413364
107.552069,134,5.471002
4.383274,300,5.823041
106.607294,140,5.887616
106.573855,116,5.946212
106.966774,162,6.247409
106.139246,164,6.31714
-50.148857,72,6.347813
106.80851,205,6.661808
105.73069,207,6.755445
-47.070934,238,6.854577
108.139766,155,7.170318
106.83886,102,7.217008
-41.581627,164,7.290123
107.047507,153,7.589143
106.611002,202,7.684938
106.016062,142,7.746318
105.416914,196,8.047932
-49.281175,54,8.072981
-43.963883,96,8.11512
-49.138465,23,8.124045
106.633766,160,8.199024
106.151953,149,8.487751
105.797962,138,8.550881
-45.210272,177,8.629959
-43.761455,95,8.668224
106.976829,122,8.95122
-48.250663,15,8.957024
106.111075,168,9.031795
-45.183345,89,9.069494
3.252918,300,9.436189
106.243656,147,9.501395
107.546326,160,9.571975
-45.258397,254,9.911739
106.690935,87,9.951788
106.411782,112,9.999976
106.028154,148,10.063477
-45.070747,200,10.373677
108.590611,89,10.415318
107.781659,91,10.454933
105.708283,191,10.778653
107.918359,166,10.853
-44.341964,147,10.919434
106.371981,158,10.996179
106.730594,74,11.255627
106.698071,98,11.300265
-46.030893,90,11.339572
107.23732,124,11.393427
107.177864,105,11.438889
-47.906901,55,11.688318
108.813839,96,11.732063
-46.041437,122,11.783063
107.560541,70,11.815757
106.849729,227,12.152542
106.854585,126,12.204386
107.799443,89,12.240835
106.980073,79,12.280259
-44.075779,117,12.3334
107.834895,67,12.367478
-47.400975,61,12.608197
109.106369,144,12.674027
106.674372,101,12.722384
107.032027,88,12.760681
107.327157,70,12.789973
106.477324,116,13.087064
-46.864466,82,13.128649
107.585778,74,13.166092
107.124443,65,13.202305
107.692776,105,13.268641
-46.029586,34,13.28728
106.659271,68,13.321537
107.532222,157,13.64734
-46.319164,80,13.683029
107.026328,104,13.729311
106.209683,108,13.77771
107.486811,92,14.047107
106.477067,80,14.079425
108.177555,101,14.121403
106.820739,82,14.157446
107.037971,73,14.188958
106.835523,92,14.224867
105.956816,101,14.490863
106.788088,65,14.522062
107.267248,74,14.554901
107.271426,73,14.585603
107.688672,74,14.6155
106.085651,206,14.699063
106.624543,86,14.947912
109.069603,91,14.995566
106.723532,76,15.03265
107.133735,100,15.079691
-43.219221,89,15.120235
107.438435,140,15.470375
106.721112,156,15.555165
107.749554,80,15.602689
-44.74749,196,15.698265
-45.835492,169,16.085286
106.45475,62,16.118378
107.140205,84,16.158622
109.335486,98,16.21918
106.544921,58,16.251846
108.259086,87,16.624475
-43.776632,93,16.670335
107.486931,62,16.702479
107.439032,74,16.739625
107.43642,76,16.779992
-43.277404,175,17.179545
-42.321475,93,17.22975
106.299942,53,17.257087
106.980095,51,17.281174
108.745084,87,17.322802
109.491655,94,17.374837
106.636265,49,17.402231
106.868003,71,17.436981
107.809784,80,17.767268
106.661751,62,17.808827
107.230234,54,17.836854
106.899752,84,17.887074
106.713567,106,17.94936
107.439734,70,17.983752
107.614371,107,18.3143
108.589134,89,18.354659
107.114738,68,18.385951
107.344306,62,18.416281
108.463817,71,18.45706
107.164964,63,18.488958
-45.024935,81,18.534007
106.428924,60,18.92371
106.945082,49,18.974967
107.566521,63,19.040418
106.952305,67,19.131119
106.547699,59,19.179273
-42.984893,112,19.303545
108.17092,70,19.417016
107.477975,69,19.517473
106.901651,68,20.42251
108.022193,78,20.509865
107.42445,60,20.572294
107.334719,54,20.638098
107.403311,56,20.692389
106.784177,112,20.793581
106.589142,66,20.853783
-44.057651,86,21.621614
107.002652,63,21.686744
106.980349,73,21.745889
108.142063,74,21.816858
107.374815,55,21.855297
-44.762284,108,21.938365
106.924558,50,21.986753
106.904462,55,22.623171
106.934082,59,22.691006
106.884338,45,22.745172
106.861704,75,22.822389
-44.623352,80,22.912039
108.477253,66,22.972569
108.080733,71,23.050164
107.75121,59,23.105636
109.567358,70,23.753906
109.047777,61,23.819387
107.164715,57,23.868723
-43.15867,60,23.924817
108.650135,52,23.973879
107.662402,85,24.062278
107.557952,46,24.11509
107.222459,65,24.172871
108.646732,71,24.879657
107.528053,78,24.970658
107.637456,99,25.058678
108.016835,50,25.090597
107.011509,54,25.144576
108.17656,91,25.224
107.890368,54,25.277775
-43.902608,70,26.004996
107.134729,88,26.101379
107.247022,61,26.147768
107.399289,59,26.197335
108.990722,77,26.256389
-42.959469,75,26.299591
-43.86765,110,26.376291
-42.858701,58,26.720722
-43.231907,95,26.778666
107.663899,61,26.807212
106.94968,49,26.831516
107.428566,79,26.870443
108.362856,69,26.903239
108.488267,56,26.932016
109.805816,92,27.247581
106.799558,59,27.275725
107.490556,52,27.301984
106.732801,50,27.328365
107.777484,55,27.362164
108.042742,59,27.396615
-44.687898,65,27.428741
108.15234,67,27.463128
107.348139,79,27.499785
107.210461,53,27.769916
107.847453,51,27.79493
107.603697,59,27.821185
106.733364,48,27.845687
106.87371,123,27.906475
107.316052,45,27.92997
