#{"t_start": 1783500481.002024, "env_id": "None"}
r,l,t
-45.557779,55,0.034651
-47.763005,34,0.048845
-51.215888,52,0.070528
-51.236384,31,0.082278
-51.618958,37,0.098764
-49.319185,61,0.125805
-51.121581,17,0.132857
-49.948834,73,0.164923
-49.525556,28,0.177406
-50.932862,30,0.191949
-46.009811,80,0.227522
-53.213069,226,0.576841
-50.140991,30,0.595388
-52.645304,44,0.615973
-49.768875,14,0.623647
-49.075899,15,0.629537
-44.292848,134,0.695196
-50.298773,47,0.716173
-45.170521,112,1.012398
-48.364672,29,1.030384
-47.115156,56,1.055009
-51.178776,20,1.062697
-53.162776,84,1.099551
-45.514975,86,1.141697
-49.749887,110,1.192098
-44.418641,167,1.544554
-43.762462,107,1.596659
0.199772,300,2.107773
-50.022461,60,2.138357
105.401376,147,2.202467
106.164451,238,2.328868
-48.667871,130,2.780514
-44.821174,159,2.876005
-46.179892,158,2.955257
105.872848,272,3.384628
105.951692,269,3.517219
-46.178303,148,3.834584
106.8915,148,3.901156
-46.770508,162,3.991441
105.870004,174,4.32791
105.280292,263,4.450178
107.231376,122,4.512476
106.277983,259,4.893919
-45.978588,165,4.974931
-46.565825,90,5.022357
107.387961,144,5.43643
105.658076,231,5.562289
106.114739,190,5.649493
-49.012886,257,6.066403
2.972744,300,6.592031
-46.942891,296,6.738571
-46.456212,218,7.229853
107.463761,96,7.295655
106.975477,108,7.361061
107.293888,58,7.389905
107.09806,139,7.462702
107.529049,156,7.84545
106.321443,122,7.91811
-47.930923,21,7.929138
106.710233,131,7.994113
106.97156,63,8.025783
-45.720484,86,8.073544
105.66866,135,8.450083
106.745621,60,8.501132
106.955337,71,8.548568
107.10912,104,8.616365
-43.171268,160,8.702865
-44.163163,97,9.026044
106.257988,169,9.12981
107.474272,69,9.167328
108.845059,101,9.225542
107.386724,88,9.569428
106.452685,124,9.63962
107.497623,70,9.674174
107.227998,64,9.713596
106.9403,90,9.772395
105.9526,226,10.219624
106.771694,79,10.257365
106.383951,97,10.30703
107.198153,64,10.340032
106.353884,69,10.373085
107.222221,77,10.413978
106.982246,153,10.790744
106.969569,71,10.82997
107.749879,92,10.879317
-47.453298,96,10.930679
105.014972,246,11.360708
106.432351,87,11.409205
107.054528,113,11.611731
-46.473984,58,11.651522
106.113764,83,11.710329
109.150514,89,12.040139
107.88305,87,12.094381
109.307538,90,12.141605
107.055525,87,12.182021
106.83741,77,12.222616
108.014396,85,12.263768
108.932331,118,12.863485
107.186064,72,12.902854
107.907702,132,12.974125
107.366176,89,13.023737
109.281904,107,13.079078
107.354717,67,13.113259
107.866084,79,13.623114
109.029942,110,13.695903
108.967826,93,13.746983
109.158407,70,13.783613
107.408917,98,13.829829
107.560894,84,14.168667
-44.352106,70,14.217121
-43.929859,50,14.248412
-48.466912,24,14.266585
108.350548,84,14.321232
106.683437,71,14.358006
107.165795,64,14.393466
106.120629,112,14.462047
-43.050437,69,14.762611
-45.59145,137,14.827701
106.566228,111,14.886512
107.963808,61,14.916496
107.85673,63,14.949443
106.683868,71,14.984248
-44.597907,62,15.310562
106.940465,57,15.340358
106.981975,70,15.373211
107.65277,83,15.414574
107.2254,80,15.45779
107.070173,57,15.487738
-44.117629,134,15.822132
107.196711,66,15.860266
106.585781,71,15.891762
107.496024,60,15.918957
107.247372,65,15.949637
107.568379,64,15.980932
107.175953,79,16.016055
-45.021399,65,16.048294
107.697847,62,16.339119
107.488262,129,16.408897
108.630866,75,16.453025
108.199993,125,16.523983
107.700819,62,16.554099
107.119661,79,16.589226
107.457885,66,16.887927
108.13153,65,16.920242
107.262169,58,16.945567
108.08027,57,16.976184
107.153521,65,17.011531
108.546217,75,17.049773
106.655089,68,17.083717
107.980802,70,17.348777
106.643194,82,17.386634
106.497497,62,17.413379
107.434245,63,17.440887
106.52833,87,17.476876
107.66844,79,17.511882
107.962009,83,17.547439
107.307194,59,17.748383
108.045885,78,17.781137
107.500113,74,17.812702
107.098203,90,17.854098
107.858782,70,17.883162
-43.200316,79,17.917263
-44.126459,89,17.955166
107.051925,58,18.14508
106.462314,54,18.167321
107.776694,56,18.191375
107.20485,87,18.229356
107.328002,62,18.256917
107.576004,53,18.27932
106.110571,58,18.305865
108.091857,68,18.333962
107.330737,83,18.542895
107.142612,67,18.572866
107.377103,54,18.596213
107.153442,56,18.620267
109.171723,71,18.648831
109.023588,67,18.675445
107.85826,72,18.705382
107.68587,55,18.725962
107.535091,54,18.938139
-42.657752,66,18.966577
108.42296,65,18.99429
108.07171,67,19.023472
107.091293,48,19.043785
107.573789,71,19.074942
-43.4371,53,19.095733
109.321909,65,19.124403
