#{"t_start": 1783500516.929588, "env_id": "None"}
r,l,t
-52.873186,25,0.016689
-50.228625,8,0.019957
-47.478741,30,0.032807
-47.490679,115,0.080742
-50.756627,58,0.10419
-53.494067,73,0.134481
-49.862794,32,0.148394
-48.892953,26,0.159793
-49.125995,16,0.166652
-52.377116,41,0.184634
-46.125485,78,0.218775
-47.237173,26,0.40251
-50.994684,14,0.409265
-44.967751,83,0.444758
-3.488406,300,0.571266
-45.535474,200,0.861583
-47.705486,206,0.947182
106.200973,165,1.017304
-49.370418,145,1.247924
-51.488011,277,1.365588
-47.976044,92,1.407949
-49.694403,123,1.686724
107.431651,148,1.748353
-46.96529,55,1.770624
-47.756961,75,1.80219
-0.712852,300,2.110871
104.620207,218,2.198497
107.364072,204,2.461895
-44.778356,132,2.517559
106.457518,158,2.583289
106.736819,151,2.645211
106.169254,194,2.888419
-46.331846,143,2.947083
-50.911204,89,2.984776
-49.474976,125,3.37689
-45.048504,86,3.426398
4.41308,300,3.561646
106.419505,151,3.89289
106.545858,82,3.928937
-45.588287,188,4.010575
106.813678,116,4.059327
106.648412,149,4.448872
-44.632134,211,4.564389
106.889296,121,4.630542
105.84328,186,4.971943
106.389919,146,5.043778
2.947737,300,5.448482
106.921537,69,5.480727
106.733525,111,5.533224
108.732414,158,5.614849
107.534258,125,5.678948
-48.696894,26,5.689504
104.983477,299,6.130648
106.661357,79,6.171496
107.405353,94,6.249182
106.625721,133,6.802817
105.95303,130,6.877874
-44.747683,49,6.903874
106.390051,113,6.970587
105.948249,169,7.445755
107.05673,115,7.513424
106.847122,71,7.5581
108.880779,116,7.632817
107.80397,102,7.693101
-43.086666,107,8.06132
108.001562,78,8.102998
106.928881,106,8.172814
-49.244622,55,8.208044
106.60764,76,8.253095
107.048222,99,8.312801
-43.905882,131,8.708351
107.112786,167,8.81503
-48.628446,15,8.829277
107.235696,98,8.898249
-46.728415,64,8.939084
106.828924,151,9.338703
-45.097251,122,9.418041
-43.863711,106,9.485711
107.231625,96,9.53598
106.758607,108,9.612453
107.033411,75,10.022166
107.41316,94,10.082802
106.944963,142,10.168227
107.837395,140,10.268022
107.565229,78,10.313209
105.557535,222,10.750961
107.119415,66,10.802666
107.724464,111,10.868088
106.979208,83,10.923579
-48.673867,9,10.928746
107.536642,97,11.335724
107.690167,75,11.381819
108.311115,89,11.436309
106.748487,168,11.52858
107.020024,102,11.579669
106.638979,92,12.050297
4.644637,300,12.260074
-44.765059,195,12.72615
107.243022,103,12.788922
106.607871,125,12.867419
107.008237,73,12.910791
-45.3816,259,13.419777
106.907645,74,13.464232
106.120461,177,13.584847
-44.49891,88,13.642449
1.623051,300,14.128409
106.659561,86,14.176191
106.750535,61,14.21045
106.785833,75,14.247047
107.144888,61,14.612113
108.261255,101,14.666313
106.457479,74,14.707729
107.115958,68,14.740172
106.216114,159,14.846928
108.929815,90,14.915663
106.630617,52,15.240071
106.65479,96,15.303305
106.332392,113,15.368585
105.565887,221,15.474159
106.997228,73,15.896536
108.893279,83,15.933602
107.322855,59,15.959647
107.097485,87,16.00006
106.924,150,16.068264
106.44834,64,16.097179
-47.47152,25,16.10811
107.361803,77,16.368839
109.514879,103,16.416357
108.751581,74,16.44889
108.196771,77,16.483322
106.575321,64,16.513253
106.781382,79,16.547963
-43.090827,89,16.804277
107.591119,76,16.85339
107.263559,68,16.919357
108.007052,87,16.992288
108.628538,85,17.051589
107.215777,73,17.10541
107.502657,85,17.194627
106.869863,73,17.504071
107.747129,86,17.56195
-45.377521,169,17.69922
107.287305,94,17.75556
-43.111602,83,17.803722
107.429678,72,18.128247
-43.467769,106,18.179529
107.55396,64,18.211028
106.948935,86,18.248105
108.351009,87,18.289703
108.824953,92,18.334627
108.338364,74,18.629129
-43.955028,76,18.667071
108.691832,80,18.705349
106.862373,55,18.730308
106.555992,49,18.751615
108.679308,73,18.787228
106.869818,61,18.813792
108.060523,75,19.023696
107.631989,61,19.050204
108.223015,81,19.083368
107.868894,86,19.119972
108.780633,85,19.158417
108.022552,72,19.187897
-45.794792,41,19.205989
107.193033,54,19.231682
106.836627,52,19.452758
107.826413,57,19.477596
109.265741,84,19.513196
106.908074,65,19.543513
108.458627,68,19.572155
108.15917,78,19.610324
106.763992,67,19.644869
108.020841,58,19.874905
107.044042,54,19.904485
106.795503,44,19.924876
107.703402,67,19.953641
107.1998,61,19.980417
108.146249,59,20.004882
107.830425,61,20.032107
108.377552,73,20.064669
-48.108268,12,20.0692
107.768302,57,20.092873
107.219526,64,20.297843
108.425363,59,20.320976
108.681213,66,20.350098
107.819327,68,20.383095
107.321175,73,20.414015
106.848556,69,20.442364
106.542477,51,20.462887
106.479936,54,20.485114
107.704621,70,20.718018
106.838387,49,20.745715
107.64713,63,20.778295
-47.565287,30,20.793305
108.094015,64,20.827281
107.2124,97,20.874475
106.205806,55,20.905373
108.417958,68,20.933925
107.565014,67,21.136218
107.224732,44,21.154014
106.441873,54,21.176016
107.568118,49,21.195516
107.334065,54,21.217032
108.823925,63,21.242805
107.063652,66,21.266923
107.962871,67,21.290013
108.234033,62,21.312569
106.862174,47,21.461382
-48.765149,20,21.468253
107.600344,82,21.497841
-47.411349,23,21.505849
107.834288,60,21.528276
107.49507,63,21.551521
108.159058,67,21.576037
107.760893,64,21.599498
107.614251,78,21.629141
106.760056,65,21.954187
107.421862,63,21.99956
107.082725,56,22.043379
107.550039,69,22.09886
107.139367,72,22.149484
107.04955,49,22.182791
108.039679,55,22.215618
107.987413,55,22.238968
108.088443,65,22.268587
108.350636,71,23.301876
107.071121,56,23.39459
107.055711,52,23.52878
-43.2241,58,23.586974
106.642008,50,23.631528
108.358538,50,23.799966
106.810853,49,23.895409
108.633389,65,23.996328
106.661723,44,24.066238
107.218946,53,24.628892
107.764786,61,24.752049
107.153275,69,24.878408
108.464733,65,24.977399
107.66383,52,25.076887
109.163186,76,25.216875
107.078488,70,25.297389
107.922065,58,25.355214
107.947483,60,26.17454
107.333037,59,26.267971
107.516529,73,26.333875
107.899755,51,26.369742
107.568025,55,26.418888
107.302803,57,26.49951
106.962722,70,26.639168
108.568145,68,26.740915
107.690046,56,27.289876
106.802409,66,27.40135
107.027748,50,27.465911
107.871792,55,27.503504
107.404834,59,27.53775
108.330274,55,27.568748
107.353638,48,27.602554
107.104945,49,27.634233
109.064768,71,27.671546
-48.317903,11,27.678915
107.94961,62,27.966929
107.506496,58,28.009251
107.511864,44,28.048926
107.399844,67,28.106428
108.052508,75,28.195048
109.446545,75,28.258659
108.40979,54,28.294086
106.699284,40,28.324887
107.519937,50,28.356886
107.898958,50,29.159195
107.585895,60,29.215067
106.750343,51,29.266817
107.971145,60,29.354786
107.544336,51,29.502824
107.610223,48,29.586045
107.708522,52,29.656584
107.726376,65,29.775115
108.573924,59,29.928081
108.278088,64,30.728644
-45.953602,31,30.752989
108.240564,63,30.809556
108.7634,58,30.851537
107.26742,48,30.891658
107.626353,55,30.937508
107.211833,46,30.969768
107.555851,60,31.016869
106.864114,44,31.051673
107.269382,55,31.096973
107.523889,48,31.850513
107.139703,46,31.920957
107.788423,54,31.999113
107.263061,51,32.064139
108.703949,62,32.164777
107.558141,58,32.243165
107.381937,50,32.316814
106.226114,43,32.394524
106.971201,43,32.460304
107.053088,53,32.518552
107.01035,40,33.111008
108.476271,51,33.175408
-47.367321,27,33.213313
107.054984,47,33.29172
107.167998,41,33.360796
108.37008,52,33.436502
107.948637,47,33.528929
