#{"t_start": 1783500437.096149, "env_id": "None"}
r,l,t
-53.540421,58,0.697656
-52.696902,65,0.730439
-50.737287,107,0.780648
-47.219006,41,0.799342
-51.87493,41,0.818298
-53.179389,146,0.882925
-49.479541,66,1.166172
-50.343124,89,1.205739
-44.38534,93,1.247758
-48.628946,107,1.304208
-49.96178,18,1.312915
-50.566017,67,1.341666
-45.863114,77,1.378607
-50.096142,250,1.710872
-49.563719,32,1.723274
-47.911225,98,1.767755
106.396334,106,1.813542
-46.945763,29,1.825032
-48.818708,8,1.82998
-46.542099,70,2.068402
3.357792,300,2.199688
-51.72019,74,2.234065
-1.283548,300,2.624159
106.986211,150,2.690029
-46.518122,115,2.741087
105.297055,207,3.051809
-46.79852,65,3.081867
-2.191958,300,3.451253
106.694104,113,3.498819
-45.332918,210,3.598407
105.642464,273,3.965361
-46.390437,300,4.106488
3.873671,300,4.46085
105.331171,252,4.5805
-48.270116,61,4.605749
1.354047,300,4.966828
-45.413536,126,5.022128
106.15361,228,5.353701
3.317551,300,5.486649
106.154081,122,5.764048
-46.453489,94,5.802992
-48.249214,102,5.846716
106.58146,113,5.900523
2.656053,300,6.266761
105.975906,116,6.317096
106.40702,152,6.381245
6.014967,300,6.738415
3.37333,300,6.867563
107.079688,138,7.177729
106.636775,109,7.225485
105.579637,211,7.322746
105.819147,287,7.684576
105.96303,151,7.749529
105.656925,200,8.053209
104.78905,237,8.159443
-46.225971,150,8.228653
1.336619,300,8.584651
-44.86486,144,8.649743
106.116862,228,8.974912
105.651622,151,9.04263
106.094578,144,9.106034
106.401513,161,9.405267
106.285994,97,9.452755
108.847893,122,9.50636
106.71477,91,9.547556
107.311886,144,9.611491
105.868845,248,9.949779
105.918279,203,10.0369
107.481294,88,10.073992
106.023561,139,10.357732
106.157667,182,10.440304
106.385431,65,10.469341
107.26594,128,10.524848
1.713247,300,10.898816
-44.143261,94,10.944129
-42.875207,86,10.986139
107.958963,92,11.254052
108.794292,117,11.307239
106.644099,111,11.3545
107.705527,126,11.410616
106.022235,211,11.729329
-45.764308,270,11.846776
107.427281,115,11.900008
106.153654,84,12.17008
107.539654,115,12.218428
108.141693,139,12.281625
107.853376,99,12.325213
-43.681072,98,12.588101
106.669086,72,12.622463
-43.993318,135,12.68295
107.848615,105,12.732702
-43.756907,177,12.813951
108.346005,100,13.099782
2.756165,300,13.268067
106.548145,60,13.300697
107.737175,83,13.585605
106.7574,79,13.627908
106.913531,68,13.660309
106.025163,128,13.71694
105.751985,223,13.81822
-46.646604,39,14.062866
107.194971,127,14.113856
5.181491,300,14.239259
106.347521,53,14.486289
106.902742,60,14.514141
107.119738,78,14.54745
106.315574,84,14.584371
-44.640938,249,14.684552
107.071436,114,14.945697
106.79549,71,14.980012
106.795083,70,15.016559
107.006385,74,15.052887
2.951419,300,15.476322
107.903507,68,15.514676
107.168391,70,15.553219
107.138146,82,15.601409
106.886351,70,15.637901
105.287692,246,16.061125
106.749473,84,16.104041
107.628965,73,16.140626
108.047553,175,16.239267
109.430019,114,16.628132
107.823893,91,16.67185
108.024453,96,16.719251
106.738753,69,16.756591
107.758541,95,16.806837
108.390114,80,16.855593
106.888176,80,17.198438
106.745103,60,17.23305
106.78585,61,17.26294
107.369847,85,17.302201
-43.95711,95,17.351988
106.844351,60,17.387163
106.822548,67,17.418452
109.541434,76,17.74598
109.715921,90,17.802302
107.486557,117,17.872756
107.140736,80,17.915988
-43.655304,79,17.958009
107.464693,90,18.002692
107.303913,61,18.312742
107.149013,64,18.340104
107.015525,63,18.370176
107.061549,72,18.404071
107.184616,62,18.436361
106.90007,70,18.475576
107.379554,86,18.520705
107.312173,65,18.908863
106.788064,50,18.956852
106.640666,137,19.11892
107.736645,64,19.177637
107.528578,86,19.26506
106.975264,67,19.355695
107.266904,56,19.441024
106.910887,58,20.383236
106.901762,68,20.43813
107.521876,64,20.508049
108.654527,75,20.59404
108.042702,66,20.678228
106.8725,91,20.746119
107.151695,75,20.816468
106.587482,57,20.870763
107.708558,63,21.614365
107.321169,131,21.737358
108.620295,70,21.799873
107.939616,66,21.852721
106.976201,68,21.901094
108.496642,103,21.993455
106.994193,73,22.654808
108.780378,79,22.745022
106.610922,43,22.797837
107.145297,54,22.849708
106.819154,54,22.907336
108.112432,57,22.964208
108.596229,62,23.025934
106.827376,53,23.078151
107.237213,56,23.697191
107.841983,56,23.775114
108.407912,59,23.832619
107.116375,46,23.869366
107.133762,99,23.968357
107.55619,77,24.039493
-42.513682,67,24.116632
108.73118,63,24.171003
106.991848,90,24.899855
107.963182,73,24.98072
-43.38036,67,25.036931
107.488675,48,25.073318
108.680844,65,25.133941
106.874697,47,25.175274
-43.809719,122,25.292927
107.098867,48,25.998409
106.991337,56,26.061758
106.803387,60,26.121127
106.838727,84,26.182425
108.665699,74,26.247271
107.215975,74,26.287057
107.343167,149,26.395544
107.943195,61,26.733392
107.439482,48,26.763889
107.862079,54,26.790193
107.903453,81,26.831545
107.550299,56,26.858652
107.31479,59,26.887727
107.737951,60,26.917964
107.293835,51,26.944798
109.18344,78,27.251093
-43.276839,68,27.284685
106.934438,59,27.315456
106.776156,41,27.335434
108.63697,77,27.385511
106.852853,45,27.406108
107.039653,40,27.426337
106.453985,49,27.453039
107.324872,59,27.482091
107.039569,47,27.502898
107.39027,52,27.772476
107.812662,71,27.806362
107.061038,77,27.843842
107.484412,51,27.870321
107.10537,52,27.896907
108.10189,72,27.931616
107.904031,53,27.954875
107.335068,58,27.987701
107.890923,51,28.309798
106.892482,43,28.335703
-43.86159,60,28.370414
107.128347,47,28.399859
106.600253,52,28.430586
107.493696,51,28.460855
107.388992,49,28.482179
107.837138,53,28.511313
107.067582,50,28.533567
107.270756,48,28.554992
107.845211,46,28.915178
107.400183,47,28.939243
107.212042,76,28.990805
107.099809,41,29.012381
107.783293,55,29.037879
-45.1932,162,29.137111
107.424582,46,29.1595
108.782516,63,29.190953
106.586136,41,29.507627
107.432018,55,29.537706
107.81048,53,29.564012
106.542257,49,29.5892
106.735899,60,29.622002
108.965504,79,29.668254
108.011009,59,29.698491
107.491318,55,29.731862
108.458272,58,29.758079
107.450638,51,30.040709
-43.969809,91,30.08961
108.960011,59,30.121759
-45.062101,32,30.143554
108.020086,53,30.173031
106.421791,41,30.202871
107.398539,46,30.230322
107.517797,59,30.25674
108.471816,52,30.281774
108.707441,60,30.575494
106.566347,42,30.595688
107.042032,82,30.633466
107.454628,53,30.659694
106.82527,43,30.680687
-43.873653,69,30.715193
106.613612,41,30.733561
106.854004,47,30.754314
106.853682,47,30.781548
106.89275,43,30.805324
106.53179,48,31.077796
106.852884,52,31.102464
106.7578,74,31.136971
106.911898,58,31.165933
107.298684,42,31.188646
107.992061,55,31.219266
107.802842,47,31.249256
107.284441,47,31.277514
108.935549,54,31.311581
106.773961,110,31.728808
108.185847,54,31.753117
108.092922,66,31.784911
107.57527,46,31.80582
107.876085,60,31.840199
107.349394,46,31.862535
107.814762,42,31.883758
109.714617,65,31.917934
107.598667,47,31.945408
107.315642,61,32.252056
108.409848,49,32.279505
106.966138,42,32.299899
107.896968,59,32.335477
107.721651,43,32.354855
107.489919,45,32.386301
-42.997537,64,32.427283
107.138071,54,32.452916
110.025676,65,32.487543
107.610357,59,32.520577
107.509381,42,32.880955
109.007159,61,32.919944
106.642559,38,32.941565
107.50353,49,32.9673
107.494615,53,33.005171
-43.798702,55,33.03316
107.054318,75,33.071592
107.663405,45,33.09655
106.508264,43,33.121718
106.869572,48,33.151639
107.873501,42,33.568762
109.003067,65,33.60339
-47.719831,25,33.618264
108.618931,56,33.650564
108.477228,62,33.683841
107.21184,59,33.715367
109.333895,57,33.742942
107.003761,46,33.766388
107.555221,44,33.788794
107.052102,79,34.120573
107.814714,62,34.150485
106.462212,41,34.172234
109.15356,55,34.19969
107.024603,49,34.223713
-42.171944,60,34.261723
106.511868,49,34.285725
107.564777,40,34.305313
107.326275,44,34.327891
109.060633,58,34.35656
107.061479,43,34.66305
107.166944,58,34.690687
108.177819,48,34.71331
108.363072,51,34.735675
107.764584,62,34.764835
109.258877,62,34.799275
106.971991,36,34.822266
107.384728,55,34.851196
107.1627,43,34.877645
107.617724,47,34.901367
106.774013,41,34.938628
106.606842,37,35.247573
107.831533,49,35.277763
108.612325,51,35.306059
108.131019,54,35.334473
106.65312,43,35.355236
108.008629,52,35.385562
107.785141,50,35.415143
107.870933,52,35.440472
108.029197,59,35.479468
107.486891,46,35.501857
107.660741,58,35.836657
107.452173,52,35.867382
107.564888,57,35.900512
107.320304,39,35.92113
-42.822767,53,35.950081
106.473647,35,35.971298
108.008691,59,36.000519
107.086842,46,36.023812
106.94046,37,36.044697
108.202602,59,36.077512
107.313811,39,36.10527
109.061195,64,36.476464
-41.391665,60,36.513271
107.312032,39,36.535792
107.454074,49,36.585442
107.339939,38,36.608751
107.344472,57,36.639865
106.899569,39,36.662643
108.574463,53,36.687616
-42.663974,52,36.714919
108.214048,46,36.737508
107.359424,46,37.105709
108.366819,50,37.150131
106.955942,38,37.171457
107.388979,41,37.192104
108.253034,49,37.216604
