#{"t_start": 1783500437.095999, "env_id": "None"}
r,l,t
-46.451526,111,0.724575
-50.718405,13,0.731094
-52.876282,84,0.770334
-51.653662,21,0.780319
-52.355281,113,0.831478
-51.706369,30,0.845785
-51.381838,29,0.85716
-48.8604,26,0.869665
-52.332874,48,0.889739
-44.402436,160,1.215598
-49.490311,31,1.229648
-48.529247,62,1.256875
-46.406779,50,1.282025
-49.28504,24,1.298033
-51.838079,36,1.316032
-51.717553,74,1.348795
-48.691735,16,1.355188
-50.957727,50,1.379961
-51.86895,30,1.391468
3.595224,300,1.746712
4.923543,300,2.084949
-48.490069,30,2.09748
-49.853161,44,2.116461
-51.535987,87,2.154721
-53.260953,274,2.281298
-47.766638,79,2.57213
-51.428776,53,2.596272
-48.396288,30,2.607997
-45.078818,110,2.658816
-48.309517,105,2.703168
1.725602,300,3.054448
105.686728,260,3.168347
106.995873,145,3.470854
106.900765,90,3.508704
105.936882,229,3.621623
4.358787,300,4.001559
105.436429,194,4.086658
106.167074,191,4.397727
-0.694173,300,4.535908
-46.745243,142,4.599115
-47.687201,43,4.850537
-50.072317,107,4.896474
-47.15522,95,4.935271
-49.662676,136,4.996782
106.159761,299,5.357432
106.46777,94,5.401459
105.38615,166,5.47283
106.228747,150,5.762727
106.37147,185,5.839649
106.650702,163,5.916244
-46.228085,170,6.225387
5.866086,300,6.355538
7.439774,300,6.712343
105.603413,214,6.806605
-46.345843,214,7.146514
106.740818,99,7.189188
106.388577,147,7.254495
106.136639,180,7.337206
106.238304,94,7.612819
106.781229,124,7.66876
107.932853,149,7.733235
106.50785,156,7.800672
106.921205,108,8.066963
106.680497,156,8.135489
105.741024,166,8.211744
104.914566,201,8.52231
-45.43691,283,8.650815
106.205441,104,8.692009
106.802738,145,8.986169
107.723344,99,9.030419
106.563809,188,9.113968
107.996701,130,9.39839
106.445902,74,9.435888
107.910338,113,9.486923
3.129299,300,9.618027
106.298542,147,9.910891
109.063166,141,9.973627
105.788325,130,10.030787
106.944194,128,10.306614
106.237541,91,10.348233
106.893131,102,10.393977
-44.665507,84,10.432414
107.76105,113,10.483194
106.822573,101,10.525788
107.10502,85,10.805994
107.040629,104,10.849777
107.47091,91,10.888829
106.926363,92,10.934325
107.799914,121,10.991785
106.379925,198,11.309637
106.487397,111,11.355882
3.542481,300,11.71447
107.471347,108,11.760269
108.50526,99,11.805324
106.199864,60,11.830539
106.819543,104,11.880584
106.023364,241,12.216144
-45.228031,281,12.341954
106.623767,57,12.372701
107.299563,88,12.629236
106.733386,77,12.662727
-50.14186,84,12.702894
106.900227,54,12.726742
107.165704,93,12.76667
106.886487,99,12.815133
107.817954,104,13.10291
107.089782,91,13.148653
108.753797,90,13.19429
-45.373527,88,13.255339
106.112279,86,13.301453
106.795344,104,13.600292
106.493766,114,13.655101
108.009574,93,13.697723
107.854802,79,13.732527
107.166009,60,13.759052
106.940585,94,13.80284
-43.400091,127,14.082673
3.827436,300,14.210876
107.20342,79,14.240972
107.483421,125,14.521593
107.424406,95,14.5643
106.639627,96,14.602169
-46.172328,48,14.621657
106.872682,81,14.653227
106.906309,69,14.682476
107.823997,81,14.924898
106.878138,79,14.963753
107.669133,127,15.030047
-48.918527,6,15.032753
-44.098991,87,15.072985
107.585094,77,15.108793
108.027122,88,15.150103
108.912717,73,15.468828
106.689841,76,15.508252
106.578995,61,15.545852
106.905815,64,15.579677
107.402608,94,15.628827
-47.497468,23,15.644212
106.451785,54,15.669097
107.651684,194,16.067141
106.944633,96,16.116572
107.218018,126,16.178699
-46.238618,218,16.631049
107.623939,69,16.664737
107.097577,109,16.718482
107.165278,75,16.760572
108.2088,84,16.804305
107.317874,60,16.842597
107.928746,84,17.18605
107.502154,59,17.218361
107.066376,57,17.250738
-45.522376,36,17.266402
107.395812,71,17.299738
106.770313,58,17.329137
106.776097,99,17.385236
107.660414,96,17.433191
-43.87698,185,17.823786
107.969993,79,17.876886
108.250095,67,17.912948
107.428163,60,17.948002
108.622321,87,17.988972
107.593007,74,18.305109
107.202197,65,18.334339
107.368761,69,18.366916
106.705341,71,18.399345
-46.192449,28,18.413675
107.422692,62,18.451288
107.328022,72,18.486363
106.679486,68,18.522401
107.765826,69,18.915844
107.37982,100,19.016785
-43.657631,136,19.170951
106.378336,44,19.214044
106.645905,126,19.36433
107.265464,61,19.455412
-43.552789,64,20.403649
106.843811,53,20.448453
107.098492,58,20.506128
107.450667,61,20.569991
107.669004,59,20.64353
107.551239,51,20.690808
106.907779,54,20.734976
-43.631024,64,20.79825
107.542388,73,20.863974
107.146174,94,21.64391
109.801672,89,21.725028
-42.536622,81,21.795011
106.590608,61,21.848245
107.49915,80,21.905166
-43.619195,73,21.968704
107.882507,54,22.61366
107.230181,53,22.662683
107.056926,56,22.728008
107.49765,76,22.810052
107.355145,91,22.907343
107.943036,76,22.979513
108.371285,61,23.046523
108.190157,60,23.104189
107.208131,48,23.720616
-43.094234,76,23.807575
107.959979,57,23.864389
106.794774,51,23.913286
-43.300374,63,23.970461
107.847815,50,24.019934
107.732241,64,24.088115
107.275082,104,24.191949
106.883356,44,24.865472
106.528658,50,24.921127
107.323247,83,25.001618
107.698397,64,25.064111
107.528893,51,25.100165
107.189605,50,25.147567
108.10056,75,25.21346
109.126237,67,25.279348
-43.980688,65,26.003121
108.830071,64,26.07032
107.940314,61,26.131758
107.648635,59,26.170817
107.071271,55,26.225059
107.873864,61,26.26321
-42.313289,61,26.298278
107.723077,74,26.353229
-43.028225,81,26.714629
107.92625,55,26.743381
108.49116,54,26.777881
107.938284,55,26.804113
106.957409,51,26.829105
106.82451,38,26.847884
108.018827,73,26.883617
107.067213,45,26.905779
-44.906973,32,26.921594
107.456867,51,26.948149
107.054504,43,26.97148
107.617254,59,27.266891
106.84787,49,27.290284
106.754514,76,27.330429
-46.405919,28,27.344887
-44.516702,56,27.383316
106.112806,261,27.75677
107.797229,58,27.783971
107.372054,92,27.827035
108.154539,87,27.871372
106.724702,58,27.900281
107.612342,48,27.922209
107.265928,58,27.950605
108.574486,71,27.988867
106.566461,48,28.307692
107.114123,50,28.338697
-44.457113,60,28.375722
107.162143,56,28.407538
107.817709,115,28.4718
107.332853,63,28.505014
108.206589,54,28.530601
108.197333,64,28.559413
106.862816,42,28.9182
107.217014,51,28.945986
109.076633,62,28.984079
107.770705,52,29.01545
108.125349,58,29.042741
107.706441,66,29.07902
107.559198,67,29.124083
-44.18074,72,29.163446
106.570464,126,29.522576
107.623751,69,29.557741
106.676633,57,29.586733
109.717158,67,29.62366
107.27248,85,29.671935
107.344017,67,29.712737
107.141356,45,29.735017
107.453185,68,30.019508
107.112641,60,30.055306
107.439633,64,30.089175
107.024841,74,30.133198
109.822522,73,30.174335
106.543449,46,30.205754
-43.300067,58,30.23829
108.945919,73,30.272571
108.026569,52,30.296052
-43.497248,63,30.591651
107.698524,53,30.617075
107.023331,44,30.637027
107.810119,55,30.665888
106.781949,58,30.69095
107.423693,63,30.723834
108.789416,55,30.749543
109.219812,65,30.785461
108.46233,74,31.071667
107.514663,53,31.096437
108.990922,56,31.123302
107.588835,44,31.145045
108.187154,59,31.172533
106.748422,44,31.198383
109.431275,65,31.23557
108.72427,50,31.264971
108.271092,61,31.305058
107.190147,51,31.337138
106.973272,43,31.716155
107.558874,48,31.738719
107.251981,45,31.761079
107.376241,53,31.785542
108.594628,65,31.816161
107.000895,44,31.843753
106.989273,48,31.865097
107.579718,50,31.891227
106.8605,49,31.917093
107.692341,47,31.944651
106.91134,42,32.239776
107.292194,41,32.26286
107.657957,44,32.285419
108.927101,55,32.319444
106.87459,82,32.358842
108.661723,67,32.406837
107.163736,61,32.440394
106.743051,40,32.46011
109.562579,66,32.497646
109.20054,60,32.865773
106.803678,44,32.892354
106.687808,42,32.918573
108.037267,44,32.944431
106.805589,52,32.97144
106.801518,43,33.003501
108.49897,66,33.037071
107.17038,50,33.063356
106.988105,40,33.083908
-43.946845,49,33.108804
107.403657,42,33.140113
107.647785,49,33.561609
108.149992,58,33.591716
106.443432,49,33.619278
108.745307,52,33.649798
108.037432,74,33.689196
108.392533,58,33.720809
107.927709,50,33.744234
107.924415,50,33.769007
107.304274,48,33.796643
106.745469,44,33.8179
107.946574,70,34.142243
-44.791705,35,34.160911
107.994469,82,34.202107
108.060805,51,34.227806
109.523946,64,34.26653
107.745427,71,34.302057
108.422314,57,34.330215
108.0131,53,34.356584
107.811895,47,34.665452
107.249308,46,34.687403
107.288667,42,34.705963
108.910886,53,34.730869
106.865425,39,34.748858
