#{"t_start": 1783500516.9300952, "env_id": "None"}
r,l,t
-46.121576,81,0.039671
-47.762988,20,0.047944
-43.656307,112,0.094852
-51.949232,105,0.137275
-47.793786,18,0.145981
-48.187973,43,0.164567
-49.355137,15,0.170549
-47.572713,46,0.191795
-48.579863,35,0.205681
-47.305012,77,0.412701
-51.96601,35,0.428528
-52.004737,57,0.452062
-51.386855,133,0.508875
-43.47252,67,0.536755
-48.849315,25,0.547775
-48.514792,20,0.5559
-45.350845,44,0.575521
-46.049772,124,0.831723
-50.146441,40,0.848152
-49.724202,91,0.88666
-46.925227,32,0.90135
-49.013039,131,0.953889
-49.059342,8,0.958256
-44.222405,99,0.999889
105.61774,156,1.235117
-52.722546,153,1.301731
-49.520009,187,1.381868
-46.901046,63,1.410578
-45.935759,207,1.725509
-50.598266,122,1.775636
108.341689,120,1.826302
-51.397961,43,1.844784
107.126365,84,2.056911
-45.368459,273,2.171225
106.904189,122,2.22148
104.746742,284,2.519993
107.24816,192,2.599934
105.985596,245,2.863266
107.383548,102,2.906837
-44.867325,175,2.979133
106.927224,127,3.368791
-44.427773,111,3.431071
-43.996486,113,3.483702
4.200519,300,3.881072
106.869368,117,3.933429
106.981417,127,3.987047
106.439567,106,4.033631
4.670239,300,4.501193
3.564237,300,4.658592
105.339722,142,4.980937
3.773992,300,5.120444
108.361884,115,5.176918
108.254622,106,5.489667
106.059763,204,5.590717
106.485295,83,5.635435
106.884133,95,5.681593
106.607811,114,6.032728
106.621948,89,6.073146
106.2155,205,6.180436
107.206363,61,6.229881
107.760135,88,6.744813
106.883216,70,6.80448
-44.941475,171,6.901534
107.139395,186,7.010979
108.129089,95,7.442269
106.835524,93,7.49591
107.183578,96,7.55548
105.752118,134,7.643608
-44.202835,127,7.71866
105.374622,160,8.112323
107.541713,58,8.149137
106.61989,69,8.197439
105.47463,138,8.280721
107.282072,73,8.320285
-43.634669,72,8.68406
106.957594,108,8.740061
-46.415015,192,8.883462
