#{"t_start": 1783500437.0950851, "env_id": "None"}
r,l,t
-49.858445,33,0.684469
-49.020533,55,0.710992
-49.386759,53,0.74222
-52.314876,35,0.757773
-47.560018,39,0.773832
-51.619182,92,0.817087
-46.686645,52,0.840366
-47.020298,22,0.850114
-52.146597,54,0.873787
-49.725786,8,0.877428
-49.415585,28,0.888937
-44.354605,153,1.211921
-50.325768,46,1.232156
-52.913819,204,1.332453
-51.624648,56,1.356867
-46.599039,51,1.382189
-45.980827,224,1.703332
-52.547143,61,1.730083
-48.921002,77,1.763239
-51.11487,30,1.775724
0.434201,300,2.113183
-54.688711,249,2.226175
3.174325,300,2.617283
-46.873458,179,2.69657
-46.966543,77,2.730685
1.973397,300,3.082154
0.595928,300,3.451524
3.228697,300,3.586606
105.858097,151,3.659125
1.468548,300,4.039957
106.533897,125,4.094592
106.349455,133,4.155721
106.716307,84,4.416459
-43.65458,182,4.503266
1.968154,300,4.867193
3.344484,300,4.998151
105.323811,190,5.312094
105.878821,211,5.405915
106.200096,216,5.503507
107.299689,104,5.769521
105.622998,228,5.8671
3.640703,300,6.238415
2.760485,300,6.366272
105.675468,153,6.434609
-47.128985,268,6.777989
106.003347,196,6.858845
108.626026,135,7.166638
106.120379,132,7.225396
106.104339,115,7.276371
106.592957,248,7.622776
-44.472306,152,7.69208
106.274489,175,7.767214
-49.10534,40,7.784488
105.75156,288,8.129352
-44.889541,267,8.254533
-45.144746,229,8.574861
-45.74985,118,8.627226
106.104476,185,8.707752
106.444708,94,8.976589
107.623816,106,9.022242
-44.791026,241,9.13159
106.646276,110,9.407203
109.044939,114,9.463761
106.0038,95,9.504359
106.457486,92,9.545045
106.75135,115,9.597266
106.391474,111,9.870791
-42.438206,119,9.924414
106.966023,110,9.97397
-44.775457,213,10.066213
0.069447,300,10.422153
107.561829,122,10.476361
-45.949688,224,10.817813
106.867853,112,10.866578
106.100055,257,10.98611
2.636844,300,11.34743
106.415897,187,11.427874
106.88844,114,11.704999
-44.321222,146,11.767003
106.322647,88,11.807744
107.429003,79,11.84034
108.441897,97,11.887616
107.239861,84,12.157822
106.309648,142,12.217442
107.370486,91,12.256179
-45.914108,126,12.316085
106.019693,136,12.595484
-46.037695,222,12.697703
106.530546,73,12.731593
107.041399,90,12.769785
106.911194,98,12.817636
107.443032,72,13.089584
107.622067,121,13.150645
106.785315,84,13.191941
106.290083,82,13.252318
107.147207,85,13.296695
108.170575,99,13.589649
106.521072,82,13.635075
106.968467,64,13.663903
108.783129,87,13.702664
106.915987,118,13.755151
107.318637,94,13.799174
106.218168,88,14.064672
106.822992,109,14.107429
108.686233,97,14.151122
108.185905,100,14.192951
106.166543,172,14.487084
-42.274062,86,14.529214
-44.464469,179,14.602187
108.732653,87,14.637291
107.261568,96,14.675899
106.612725,99,14.926268
107.602204,75,14.963179
107.890939,103,15.016918
107.172996,67,15.050681
106.816549,75,15.08444
108.016923,76,15.119368
107.268294,114,15.455233
108.032792,70,15.490735
-43.315675,134,15.567321
106.252462,120,15.632387
106.623382,72,15.668473
106.506731,76,15.703593
-45.148544,64,16.037181
106.684443,104,16.090057
107.163925,68,16.128474
106.997404,57,16.154774
106.448403,60,16.184835
109.24346,97,16.248325
