#{"t_start": 1783500481.002469, "env_id": "None"}
r,l,t
-50.421188,26,0.022505
-49.511775,18,0.029931
-49.108093,36,0.044915
-48.725373,29,0.057699
-51.65472,19,0.06466
-51.865249,35,0.078504
-52.711368,65,0.106859
-48.858932,12,0.111714
-50.955886,66,0.141222
-45.806639,74,0.173751
-51.125213,18,0.181038
-52.01834,37,0.198454
-48.641548,26,0.210406
-49.436609,21,0.220388
-49.79447,25,0.230676
-48.019318,22,0.478498
-51.795175,54,0.507176
-48.658792,106,0.561142
-51.698644,41,0.579851
-46.617852,85,0.624517
-50.915941,63,0.653817
-45.799785,125,0.713807
-47.262843,244,1.07218
-48.550327,122,1.127592
107.77968,93,1.172874
-51.531365,76,1.475389
-47.470192,48,1.500183
-45.463218,154,1.577096
-47.968439,197,1.685321
107.535837,256,2.160964
-44.785947,93,2.202393
-46.263698,52,2.224987
-43.149749,116,2.288027
1.85185,300,2.848257
-49.126423,7,2.851838
106.428038,270,2.98402
1.608737,300,3.434638
106.623713,137,3.497175
104.085674,297,3.881279
106.955387,128,3.950229
108.237699,125,4.016899
-48.271117,76,4.049648
-46.074384,141,4.371816
-45.124725,124,4.427356
107.778327,135,4.49296
-48.570435,146,4.82155
105.100524,208,4.926192
105.772535,189,5.017853
106.968748,131,5.425951
107.58838,78,5.466308
106.509177,139,5.543078
108.747052,113,5.597613
-41.884592,198,5.973598
106.615702,101,6.025089
-47.07842,289,6.21183
106.097716,161,6.631215
106.75253,109,6.68458
107.099306,87,6.72853
105.89481,134,6.793459
107.418466,65,6.827292
108.580464,80,7.254658
107.118466,92,7.324782
106.884487,90,7.37134
107.097754,103,7.424254
106.726624,77,7.464366
106.395883,55,7.49815
-45.622513,149,7.874507
106.325689,96,7.930692
107.330208,99,7.980441
108.019377,79,8.016979
107.582965,77,8.061818
108.194291,109,8.420496
106.294708,88,8.48427
107.540792,147,8.592784
-44.463602,247,8.993145
107.000743,72,9.03517
-42.576275,124,9.109164
106.325419,70,9.150185
107.20051,99,9.208092
105.683119,151,9.586871
106.767883,96,9.641311
107.003545,74,9.6785
-43.287286,151,9.77484
107.130522,72,9.813733
106.136761,174,10.232842
107.392866,77,10.266416
107.468766,93,10.314953
107.022569,76,10.353482
108.145861,83,10.394806
107.325482,105,10.747037
106.61277,90,10.795505
105.016537,262,10.937652
-44.088895,109,10.995808
108.489019,114,11.356316
106.230398,51,11.387192
106.965759,87,11.430112
107.404325,102,11.638983
107.177521,135,11.723245
106.355031,82,12.055529
107.301687,90,12.105342
106.894405,67,12.140253
106.889544,116,12.195876
106.871823,66,12.22924
-50.520599,52,12.256233
107.230152,76,12.293429
-45.581361,39,12.84928
107.3984,66,12.88942
107.893232,184,12.986805
107.658873,67,13.027162
106.385913,68,13.061262
107.061854,81,13.099648
106.841145,62,13.602337
107.669705,121,13.673232
107.490225,121,13.747233
107.052785,67,13.782137
106.783292,103,13.830743
107.748908,78,14.165396
107.158772,117,14.245378
107.251934,67,14.292022
107.897079,81,14.340131
107.513207,75,14.37862
106.813357,82,14.425366
106.672743,79,14.740824
106.742777,80,14.778078
107.123322,55,14.80535
107.637694,90,14.848283
106.174931,143,14.924161
108.373549,68,14.957731
107.351088,80,15.292432
108.978333,94,15.34094
107.77161,61,15.369607
108.166528,73,15.406023
-42.833279,64,15.439906
106.712671,71,15.477954
106.766543,51,15.503681
106.406015,113,15.827702
107.6756,82,15.871744
107.995127,163,15.946649
106.496663,49,15.971163
-42.786747,68,16.00204
107.157938,79,16.03958
107.342991,109,16.354556
107.236754,59,16.382493
-43.908165,56,16.41489
107.524204,60,16.453033
107.422422,71,16.498301
-42.505308,78,16.533251
107.426173,61,16.563195
108.048649,76,16.861369
107.548293,67,16.896419
106.880865,78,16.935494
107.099119,67,16.966515
107.500993,64,17.004295
106.740773,62,17.034438
107.258445,59,17.06649
-47.496436,25,17.077797
-43.887418,83,17.349012
107.903993,75,17.38295
108.097041,78,17.417052
107.162597,92,17.456144
108.787197,70,17.486459
107.686641,51,17.50907
107.205693,66,17.537918
-45.493856,98,17.756111
106.775298,64,17.781685
107.45279,96,17.824075
107.62863,52,17.846845
107.323622,64,17.874824
106.673803,63,17.902782
107.723863,67,17.930488
107.569783,86,18.131517
107.790043,64,18.15909
106.206082,65,18.186965
107.386379,56,18.211328
107.135443,65,18.240325
107.436737,69,18.269496
107.02273,50,18.291382
106.896652,83,18.327806
107.330148,58,18.352851
107.577514,62,18.552572
107.582937,57,18.578069
107.043271,59,18.603252
107.410781,53,18.625301
-50.031596,17,18.631834
107.500579,55,18.654545
109.645956,107,18.697057
108.28685,90,18.731105
106.870027,41,18.939413
-47.680904,19,18.947373
107.096757,51,18.97058
107.822209,56,18.993429
107.25298,50,19.014436
107.034016,56,19.039065
107.715318,46,19.059788
-42.92687,60,19.083735
108.066733,68,19.111988
108.287206,76,19.146233
108.12584,61,19.387784
107.220019,47,19.411185
107.601112,74,19.44325
108.029979,51,19.463615
106.78851,57,19.490122
107.60047,55,19.51517
107.840722,50,19.538236
107.930691,65,19.566015
107.718884,54,19.591319
106.959957,51,19.832311
106.714315,45,19.853144
107.599703,52,19.877984
107.895226,56,19.904201
107.661418,53,19.931104
107.202994,51,19.957739
108.166875,70,19.989247
109.168358,61,20.018221
107.850578,59,20.042665
108.831725,58,20.299453
108.126564,51,20.32789
107.879388,47,20.353774
107.04905,56,20.377778
107.98494,50,20.4
-41.657132,61,20.429757
108.093895,53,20.457442
107.947326,53,20.482691
107.979859,49,20.506628
108.379979,61,20.7573
107.971737,53,20.783494
107.123203,46,20.809267
106.74782,43,20.827551
108.247202,52,20.850989
107.162778,48,20.87381
107.441514,45,20.894457
107.531923,50,20.920448
107.058894,43,20.940078
107.669356,58,20.968982
106.787694,44,20.988422
107.041209,42,21.238277
106.853688,48,21.261093
107.157046,53,21.29277
108.175352,55,21.320107
107.909814,45,21.342176
107.852324,46,21.365992
108.40602,57,21.393448
106.749279,54,21.418498
107.548908,45,21.440632
107.356256,48,21.461882
108.588347,57,21.71543
106.743675,43,21.73687
107.200465,44,21.758096
107.254037,53,21.77948
107.224595,49,21.803961
108.291069,68,21.835276
107.428113,58,21.864478
108.007111,77,21.903868
108.221411,60,21.932751
106.793319,41,22.205238
107.160296,50,22.227318
109.159045,50,22.249228
107.879978,59,22.27839
108.265186,52,22.301779
107.823445,56,22.32784
-44.271985,35,22.342969
108.58353,54,22.370011
107.273048,68,22.406338
107.581798,75,22.440287
-45.024504,28,22.69736
109.77046,57,22.727003
107.621633,45,22.757506
107.587755,43,22.781368
107.295216,38,22.797297
107.625679,48,22.817829
107.207209,50,22.842253
107.536619,42,22.860207
-47.25262,22,22.871123
109.921118,64,22.900097
106.690933,41,22.919932
107.337989,75,23.184284
108.946212,62,23.212326
107.987926,47,23.233684
108.163643,53,23.259715
107.729613,45,23.283069
107.104592,41,23.304356
107.566735,77,23.340549
106.998989,43,23.361122
107.527278,49,23.38176
108.425865,78,23.651989
109.311485,53,23.677688
108.701856,54,23.70258
107.176839,91,23.742653
109.098131,54,23.76489
107.679666,43,23.78519
108.184893,49,23.808487
106.803344,36,23.826574
109.419089,55,23.850011
108.798783,50,23.874094
-42.360774,57,24.125772
107.177398,44,24.145412
106.962054,39,24.163286
107.522903,47,24.191074
107.108574,46,24.210568
-49.196754,5,24.21268
108.84468,48,24.237953
107.107382,42,24.257176
106.977055,38,24.273837
107.525913,43,24.29517
107.110586,43,24.315794
107.727781,43,24.33881
106.581259,79,24.597586
107.285746,42,24.615231
107.722032,39,24.635202
108.975971,51,24.658734
107.402367,51,24.68737
108.882573,52,24.712226
107.50439,41,24.729948
106.935559,35,24.748925
109.575954,64,24.781007
109.157109,54,24.808699
107.017707,40,25.057363
106.394044,61,25.086449
108.012166,46,25.10867
-45.610279,24,25.119532
106.928078,39,25.13996
-45.133289,33,25.156273
107.213975,52,25.177692
106.762101,75,25.211925
107.32666,47,25.231302
107.254743,44,25.252266
107.74205,41,25.269841
108.296469,44,25.28992
106.482978,40,25.501585
108.771771,51,25.525683
108.310217,52,25.549106
108.598139,47,25.571392
107.816549,62,25.596341
107.874991,47,25.616132
107.343104,41,25.635863
106.759388,44,25.655038
108.08568,56,25.679035
-45.105108,27,25.691031
108.370504,52,25.890785
107.968996,44,25.90994
109.537787,60,25.936305
107.833937,56,25.961689
108.461172,52,25.984606
108.096122,60,26.012684
107.839095,52,26.038335
107.34536,44,26.058063
107.181109,38,26.076418
109.121078,51,26.09963
106.81848,40,26.117947
107.766632,49,26.321326
