#{"t_start": 1783500516.92895, "env_id": "None"}
r,l,t
-48.673167,19,0.014743
-50.688343,12,0.019665
-48.077822,127,0.072665
-52.617561,31,0.085516
-47.564252,21,0.094699
107.069701,90,0.131632
-54.393543,154,0.198287
-48.513181,18,0.205389
-52.716001,126,0.43396
-49.971986,59,0.459102
-48.216024,63,0.484293
-44.763568,71,0.515298
-51.160569,65,0.543768
-48.06575,22,0.552425
-48.356542,56,0.577049
106.145357,184,0.858999
-52.418152,78,0.892934
-50.135922,160,0.956855
-46.41114,104,1.001834
-48.332859,171,1.244673
-47.651871,123,1.297729
-45.087456,120,1.348746
-51.340931,268,1.692163
-48.513148,142,1.750211
-43.449616,95,1.790139
-47.557152,51,1.811114
-46.93627,286,2.113525
105.9828,191,2.189442
108.475334,176,2.439899
4.936252,300,2.567246
106.656227,172,2.637603
5.243055,300,2.925821
106.76472,167,2.994719
105.958878,170,3.417617
106.598091,158,3.489557
106.152879,293,3.884673
106.650356,78,3.917141
106.981658,102,3.96429
105.990433,107,4.010191
107.36415,84,4.045995
108.282438,114,4.408437
107.569481,141,4.493484
106.769005,68,4.530373
106.699487,59,4.559617
-45.489447,82,4.603509
105.327474,197,4.949006
106.564958,62,4.985572
105.677018,196,5.077675
107.068077,122,5.134337
107.415603,92,5.44176
106.275508,154,5.513253
-43.289263,177,5.603785
109.478824,117,5.667163
106.70608,96,6.005086
107.061668,73,6.043447
-46.362271,96,6.086026
106.806719,98,6.135467
107.461016,61,6.168188
106.068693,118,6.255746
106.715638,122,6.805357
-44.162359,66,6.843064
107.082024,101,6.898695
106.883233,93,6.948944
107.336628,76,7.001341
105.941358,142,7.455886
106.406645,57,7.487842
105.6259,257,7.655199
106.404839,93,7.707659
106.132782,210,8.130935
107.970949,86,8.194546
107.711213,64,8.230133
108.495839,73,8.277277
106.436203,75,8.318311
108.01333,97,8.696347
-45.628257,123,8.762284
106.803262,101,8.842611
108.055125,234,8.996747
106.577274,55,9.336983
106.850785,136,9.422603
106.52078,61,9.463895
107.046834,68,9.502052
106.227099,161,9.599438
-43.698406,189,10.091952
107.101326,84,10.135623
107.053793,78,10.188106
107.422151,74,10.242009
107.400812,95,10.300909
107.022975,72,10.650095
