#{"t_start": 1783500481.002663, "env_id": "None"}
r,l,t
-48.837079,34,0.025585
-52.096451,41,0.04259
-45.087079,89,0.078766
-51.213986,31,0.092775
-49.737321,56,0.11599
-51.946717,69,0.146751
-51.985124,41,0.164852
-50.237288,42,0.182924
-48.213782,82,0.221524
-45.854619,45,0.479101
-42.790145,102,0.532946
-44.978247,86,0.573839
-45.738264,42,0.597865
-47.595461,67,0.62904
-47.657759,97,0.67434
-46.708447,219,1.027408
-51.856109,32,1.041801
-50.088655,80,1.075218
-51.036861,21,1.083581
-0.170969,300,1.494944
-42.122218,134,1.560516
-44.926568,112,1.617716
6.33901,300,2.129419
0.602664,300,2.265885
-47.624152,282,2.816444
106.461734,111,2.876437
-42.990875,157,2.955284
105.296524,207,3.348313
105.758486,203,3.457859
-45.007122,194,3.545143
107.252379,107,3.845382
107.22212,91,3.885509
107.567726,95,3.939302
106.432563,124,4.00444
106.64171,109,4.308668
-44.163783,125,4.367131
105.833575,133,4.428015
-47.307322,163,4.50925
-45.439134,74,4.552229
106.596562,86,4.84466
108.49539,132,4.907869
105.413277,148,4.979167
106.156275,147,5.059424
106.310026,177,5.492837
106.277831,86,5.537361
-48.894815,51,5.564113
-46.889369,60,5.592131
105.864609,228,5.98073
3.436534,300,6.148457
106.58936,118,6.242513
-45.943593,184,6.665107
107.333295,127,6.72732
106.23825,114,6.781365
106.946027,68,6.813572
106.25707,79,7.243052
106.87081,96,7.309895
106.654477,91,7.363046
106.959018,93,7.411319
107.708861,75,7.450542
-46.093314,45,7.474643
106.858237,68,7.809541
-46.317594,49,7.83786
106.558177,81,7.879758
109.197199,86,7.931365
105.830016,180,8.021777
107.904085,82,8.065559
107.535056,67,8.403163
107.102665,87,8.464174
107.55774,85,8.527156
106.109095,132,8.610472
106.893945,100,8.662018
106.411043,65,8.69768
-44.128782,141,9.046712
-44.066156,216,9.17766
106.057676,170,9.56676
107.665945,68,9.607085
107.945636,79,9.647412
108.469343,137,9.733197
106.982932,78,9.778009
107.184177,177,10.195626
-45.022233,92,10.246114
-44.934763,97,10.293462
107.753998,86,10.338344
106.232473,73,10.373515
107.683259,107,10.429121
108.780015,76,10.764936
107.953707,80,10.808285
-45.213072,77,10.849022
106.663538,61,10.883002
-46.190959,159,10.969968
107.718947,114,11.331565
107.680235,110,11.391696
-43.365221,131,11.586465
106.953179,127,11.68241
106.660844,50,11.720098
107.546249,100,12.060065
-47.427996,32,12.076348
106.872445,71,12.118024
106.565226,74,12.156104
107.047455,105,12.207604
108.225278,95,12.254751
107.506658,102,12.837577
107.929534,85,12.890729
106.206123,81,12.929478
106.293406,126,13.002839
107.108528,78,13.046008
106.05559,98,13.094395
-43.580351,98,13.613068
107.296665,80,13.66286
106.466803,96,13.727967
106.758699,75,13.762872
106.734784,100,13.812449
107.277926,84,13.855377
107.917942,52,14.174687
107.307249,53,14.21539
-44.522851,77,14.26805
106.580515,92,14.326276
107.194508,67,14.360707
107.03539,55,14.391434
107.75589,70,14.434089
-43.281764,112,14.761182
109.685216,89,14.804127
108.152103,73,14.839636
-46.50227,27,14.853757
106.266305,109,14.909772
107.986429,65,14.944562
-47.855838,54,14.967375
-47.137263,20,14.979599
106.632186,69,15.309379
106.832488,53,15.337023
107.566248,65,15.366712
107.595546,62,15.396354
106.744924,68,15.433466
106.743974,72,15.473848
109.544369,73,15.508965
109.399895,106,15.83076
107.87506,70,15.869006
107.259764,64,15.896915
107.920416,78,15.933555
-42.622711,84,15.975277
107.237812,64,16.003657
107.095807,65,16.033151
107.104207,52,16.0603
107.281791,64,16.352278
107.118192,71,16.392574
-43.726579,57,16.422749
107.628586,71,16.463396
107.176414,71,16.508906
106.726161,56,16.53259
106.930113,100,16.579359
107.636493,67,16.875235
107.489741,91,16.923578
106.93629,66,16.953438
107.3775,57,16.985361
-45.911977,42,17.008078
106.864512,82,17.049774
107.499484,67,17.083258
108.168804,126,17.374189
107.954074,74,17.407002
107.007841,66,17.435536
107.115742,67,17.462308
106.631548,58,17.488319
107.567334,82,17.52425
-43.656899,100,17.566545
108.84769,66,17.771771
107.794061,76,17.803618
107.057232,66,17.831865
108.798459,69,17.862779
106.981487,68,17.892709
108.856592,74,17.92435
106.415792,52,17.945385
107.033423,69,18.140458
106.851935,51,18.161681
107.971767,77,18.194046
108.366652,88,18.23239
106.468459,85,18.270553
107.18561,61,18.296489
107.723702,61,18.32382
108.31142,68,18.353214
106.938354,56,18.548505
107.613624,52,18.573537
107.791744,58,18.597525
108.492764,60,18.623431
108.358552,101,18.664
107.227568,60,18.688881
108.085642,61,18.712527
107.831162,71,18.929449
107.452141,47,18.950058
108.752052,61,18.97684
107.007688,46,18.996337
107.592596,71,19.026995
107.006422,49,19.048267
107.154103,47,19.06912
106.926416,52,19.089826
107.064836,51,19.110421
108.750031,67,19.141115
107.234527,60,19.380271
-42.261689,67,19.413834
108.00635,58,19.439318
107.189453,78,19.471274
107.916807,53,19.495461
108.106581,68,19.527268
107.518184,62,19.554428
107.260981,59,19.580563
107.774176,53,19.82387
107.289353,51,19.84687
109.262639,60,19.875423
107.643454,47,19.895896
106.9104,66,19.930432
106.720586,47,19.955527
-45.455791,38,19.97284
106.763144,44,19.993192
107.027217,43,20.012545
106.245096,55,20.036798
107.369829,51,20.289577
106.735168,67,20.325011
107.457865,47,20.349405
107.87141,57,20.375429
-49.416163,7,20.378575
107.541058,46,20.398586
106.973596,49,20.423735
108.225978,57,20.451057
107.962578,60,20.481045
107.531371,53,20.507216
107.932922,54,20.753981
106.800991,41,20.774946
107.347053,50,20.803466
107.077995,45,20.822302
106.476244,61,20.848915
107.476505,46,20.871069
107.475144,47,20.892978
107.80291,47,20.916366
107.068199,46,20.938666
107.137854,58,20.966262
107.793161,51,20.990177
107.370004,46,21.241401
107.334658,59,21.271314
106.959199,50,21.301409
107.826447,57,21.327817
107.495207,59,21.358319
107.271126,54,21.385526
108.681453,57,21.410959
106.410252,44,21.432493
107.367292,55,21.458284
107.80186,47,21.70718
106.690251,36,21.724716
106.780191,40,21.743441
109.222991,72,21.775393
108.110097,60,21.804349
107.213489,70,21.836834
108.427692,59,21.866072
107.459237,44,21.888815
107.784022,58,21.91526
108.840972,72,22.205236
-45.153697,35,22.221057
107.836384,54,22.244253
106.464222,40,22.264745
107.327966,46,22.286563
107.557501,49,22.307592
108.640881,48,22.329557
108.623902,57,22.355868
106.586927,37,22.374823
107.418357,45,22.398335
-43.266212,49,22.423161
106.811272,41,22.441149
107.584134,52,22.710431
106.475517,37,22.732673
106.763154,55,22.764014
106.895866,43,22.788523
106.958992,37,22.804122
106.763676,38,22.821061
106.819442,44,22.841599
107.100337,43,22.860159
107.16374,38,22.877337
107.147318,53,22.903409
108.140886,49,22.925385
107.823311,42,23.175061
107.337035,40,23.19341
108.909789,50,23.215553
-43.366243,67,23.247238
107.869534,92,23.294149
108.287909,58,23.321901
107.653627,41,23.342072
107.913796,55,23.366761
107.50631,43,23.387745
107.613754,65,23.648821
109.796021,57,23.677621
107.458264,39,23.695164
-47.479596,21,23.705206
108.378575,48,23.725984
106.758903,71,23.756663
108.00021,48,23.77774
107.640921,46,23.799963
107.550424,43,23.820629
107.711643,49,23.841981
107.178197,48,23.863269
110.061369,60,24.115598
107.773979,44,24.13901
107.142088,68,24.171711
109.153209,52,24.198015
106.676199,36,24.213749
107.58688,40,24.234077
107.562871,61,24.262315
107.300496,57,24.290282
107.21109,49,24.313774
107.652327,42,24.336575
106.639732,32,24.351292
107.131622,42,24.593431
107.751224,43,24.611118
109.103737,56,24.639013
-46.761635,22,24.647998
108.797389,45,24.670214
108.360467,73,24.709675
107.334989,50,24.731555
109.229913,61,24.765893
107.191905,43,24.786229
107.617392,43,24.807127
107.275273,46,25.059334
107.86804,49,25.081009
-46.389325,23,25.092663
109.224336,57,25.12004
107.102393,41,25.141453
108.964338,48,25.163447
106.691555,43,25.181784
107.612487,42,25.2009
107.304309,42,25.220218
109.076927,49,25.240689
107.261249,41,25.258732
