#{"t_start": 1783500481.002259, "env_id": "None"}
r,l,t
-51.422942,21,0.02
-50.551178,41,0.037873
-44.362243,82,0.071558
-47.329965,55,0.0947
-51.986433,29,0.106894
-53.200173,141,0.169638
-51.701407,71,0.2007
-52.599816,46,0.22241
-46.184873,46,0.480533
-51.818436,167,0.565268
-45.716954,61,0.598097
-51.770926,33,0.613748
-51.051078,17,0.622552
-52.566134,39,0.639827
-47.564215,39,0.658026
-46.022038,84,0.699244
106.064285,171,1.027563
-50.634955,53,1.049888
-50.002406,40,1.066512
-47.811601,34,1.081525
-48.620446,19,1.091284
-51.353534,103,1.13993
-50.410926,13,1.145815
-47.92923,33,1.161548
-51.51282,179,1.514975
-45.746434,265,1.654254
105.755581,108,1.710329
4.116867,300,2.2051
-44.859554,102,2.250412
0.340729,300,2.810012
-43.892391,93,2.862241
-47.248846,114,2.917459
-48.803433,33,2.931857
2.899741,300,3.377785
2.329575,300,3.526485
-46.866797,43,3.544948
106.416329,59,3.821791
3.863921,300,3.972658
106.055014,176,4.312194
-45.336499,134,4.375435
106.243365,147,4.443087
106.841856,78,4.479967
107.859484,100,4.538921
106.910204,112,4.844114
105.71752,151,4.917891
-48.691606,15,4.925746
5.861496,300,5.4148
106.703851,134,5.489951
106.513385,83,5.531523
-44.213317,112,5.589036
106.279864,119,5.644117
106.309172,239,6.049188
-46.026189,189,6.158492
104.850743,282,6.661699
104.91513,240,6.777464
-49.997017,21,6.788758
105.982364,96,7.220451
-45.864132,76,7.265848
107.334384,81,7.327816
108.434193,94,7.375352
105.800282,235,7.504397
107.159456,91,7.847174
106.182063,96,7.900915
109.041698,118,7.966233
-45.613266,228,8.385035
-48.851881,15,8.394038
106.768355,87,8.442222
-44.496469,184,8.585316
106.213244,128,8.651026
-45.975627,187,9.022088
106.207007,106,9.085604
107.157561,131,9.164694
106.545935,60,9.199176
108.253859,77,9.242887
106.548276,57,9.569505
109.427467,86,9.616262
108.144676,125,9.682454
107.117327,93,9.747635
107.290372,87,9.793752
107.757704,72,9.833416
106.529389,106,10.215902
-42.18013,96,10.261905
107.754866,86,10.30738
107.141982,64,10.340325
-43.951314,79,10.377475
108.117226,114,10.439067
107.8948,104,10.789929
107.008034,90,10.83977
106.935152,88,10.885872
106.986169,55,10.916951
106.494158,75,10.952733
106.821186,113,11.320315
107.821271,199,11.423542
107.38294,142,11.648614
106.752811,76,11.703764
107.001658,90,12.03438
106.771217,89,12.091631
107.555523,78,12.131149
106.574644,64,12.16308
107.333548,94,12.210581
106.915481,86,12.252816
107.845677,95,12.299688
106.974988,110,12.897764
-42.345007,92,12.942879
106.658949,67,12.982357
106.353913,66,13.019062
-43.475559,72,13.059546
106.549737,134,13.593511
-42.768813,75,13.636696
107.60421,89,13.69787
107.729888,88,13.74583
106.913644,93,13.792678
107.985694,74,13.828222
