#{"t_start": 1783500481.002843, "env_id": "None"}
r,l,t
-52.63507,40,0.027974
-44.435716,113,0.074513
-45.863938,127,0.129152
-51.887815,82,0.16517
-50.85689,31,0.178698
-50.067583,48,0.200811
-51.979001,53,0.225194
-48.44683,37,0.47951
-51.047061,19,0.491248
-46.72108,165,0.572434
-51.103926,48,0.598971
-47.159045,58,0.626494
-47.93868,96,0.671444
-50.439259,163,0.993181
-53.571462,224,1.096827
-47.560843,31,1.111861
-49.431463,292,1.521504
106.640701,103,1.571914
-46.295928,94,1.619608
-48.70982,14,1.627971
104.865637,233,2.098239
106.932134,271,2.226277
2.886593,300,2.77506
106.236605,147,2.863542
-49.998337,78,2.903961
106.955009,83,2.940415
105.998699,144,3.308973
107.776666,250,3.440932
2.11618,300,3.825467
108.242337,183,3.910595
106.757221,92,3.962281
107.485252,156,4.042008
-46.701049,76,4.329963
-47.659364,28,4.344371
106.675232,110,4.395551
107.20793,121,4.451279
-43.748808,180,4.54834
106.617598,67,4.829252
106.824081,79,4.869829
107.443433,62,4.897617
-44.444321,112,4.953847
-45.557367,50,4.977581
108.518543,89,5.024437
106.10647,275,5.510459
107.585254,152,5.588695
106.919238,107,5.638679
-48.541699,43,5.658036
106.591328,211,6.050056
105.488668,235,6.200031
-46.772351,193,6.640945
-43.978081,205,6.741557
106.727508,105,6.792226
106.116192,199,7.29386
108.63493,102,7.357583
106.877492,107,7.411868
-41.307159,134,7.482743
107.683122,91,7.830595
107.471393,123,7.896497
106.42159,97,7.954823
106.99145,56,7.980706
-43.839367,72,8.013914
-43.476045,84,8.062068
-48.804852,12,8.067471
107.536636,70,8.405849
106.44789,120,8.490488
106.438667,76,8.544427
105.747737,181,8.65378
106.582631,132,8.993461
107.30198,96,9.047813
106.518756,81,9.099122
-46.473043,119,9.169872
107.545623,81,9.214554
-43.199173,63,9.248996
106.933745,73,9.58484
108.036456,111,9.646025
-44.189766,76,9.686816
-48.919016,16,9.694176
-45.861421,36,9.719559
106.828205,63,9.76241
107.97411,110,9.823898
108.286643,107,10.202511
107.538537,124,10.26483
106.292541,135,10.334535
108.60123,102,10.383562
-45.311369,68,10.423249
106.810776,119,10.779072
106.722589,65,10.814012
106.962837,80,10.85853
108.693992,161,10.944525
107.478733,99,10.99891
107.554004,70,11.339612
105.328929,174,11.430011
108.865491,81,11.621734
106.6364,97,11.680653
106.936346,131,12.045218
108.331375,83,12.095522
107.162516,107,12.149245
108.014033,72,12.183684
107.143039,64,12.216766
105.876831,264,12.892918
107.520777,97,12.939763
-48.415132,49,12.971506
109.468657,101,13.029323
106.709573,120,13.089912
107.130866,79,13.595178
107.167579,86,13.648399
-48.310121,40,13.67148
107.039493,125,13.747471
-44.240183,142,13.819376
107.127903,69,13.853616
107.283011,149,14.242129
107.45551,91,14.306026
106.887397,53,14.335622
108.0418,101,14.38846
107.712442,74,14.432447
107.320295,78,14.745125
106.580106,55,14.770627
107.482147,88,14.812672
106.817684,56,14.840376
-41.993026,98,14.891425
106.751522,83,14.937326
106.425199,148,15.303341
107.105974,65,15.334727
106.203925,76,15.372624
106.605808,75,15.41014
107.324671,61,15.442454
107.327402,62,15.476277
107.719998,78,15.513465
107.226139,73,15.816587
106.802649,81,15.863451
109.243574,73,15.89589
106.965943,54,15.921824
107.315704,91,15.963781
-42.919085,69,15.997043
-44.776634,67,16.027624
107.7319,70,16.062859
107.92493,59,16.35309
107.814492,71,16.392967
-44.400197,77,16.438077
106.43943,54,16.466456
107.15261,72,16.51078
109.170522,106,16.559904
106.594943,53,16.583038
108.516604,63,16.876936
-42.955477,72,16.914967
107.414866,69,16.947003
107.535082,64,16.98197
107.515129,77,17.023106
-42.140761,90,17.070915
107.916911,113,17.355006
106.196838,57,17.38057
106.957395,60,17.407353
109.084597,74,17.439301
109.556353,90,17.476688
106.331476,67,17.506695
-43.885503,64,17.533028
107.99081,75,17.565479
106.900889,54,17.764997
107.100361,70,17.7945
107.036535,73,17.826496
107.160486,72,17.858513
107.429228,67,17.888236
107.880379,79,17.921874
108.6488,75,17.952856
107.173007,64,18.145305
107.471581,59,18.171681
108.55832,66,18.197665
107.146773,62,18.22553
107.54235,79,18.259681
106.571348,45,18.279066
106.785298,71,18.310648
107.584231,67,18.340042
-46.62832,26,18.350002
106.729287,47,18.543374
108.348145,62,18.571216
108.171294,67,18.599626
107.479069,75,18.631605
106.999212,55,18.654352
-42.549981,71,18.682182
-43.337508,64,18.708332
107.225665,64,18.731562
107.568515,51,18.943993
107.405699,50,18.965933
106.887664,44,18.984564
108.336192,64,19.011689
107.091579,55,19.035984
107.073449,67,19.064723
-48.56785,10,19.069961
107.288087,57,19.092263
-44.014811,55,19.11482
106.895072,55,19.140364
107.010673,46,19.374322
106.966257,55,19.403424
106.985791,44,19.421229
107.133095,49,19.442424
-48.981031,10,19.446547
108.55934,63,19.472359
108.045752,66,19.503969
107.67463,54,19.528042
109.787269,65,19.55647
108.960012,64,19.585884
107.220976,54,19.82851
108.165484,57,19.854572
108.463281,60,19.882326
107.966222,54,19.908065
-47.786566,23,19.92084
107.167084,61,19.953046
108.685972,62,19.98012
107.540865,69,20.012931
108.22518,53,20.036144
107.996751,50,20.288474
107.006288,54,20.31644
108.430705,78,20.357976
107.803023,64,20.386789
107.814047,46,20.406824
107.488484,46,20.428779
107.181658,68,20.463223
107.46914,53,20.489395
-41.883086,75,20.526347
108.329375,59,20.776232
107.682595,49,20.804299
107.910325,57,20.828227
107.697332,71,20.860884
107.689615,54,20.886953
-45.132693,29,20.89908
107.635899,50,20.925231
108.567983,60,20.953909
108.361896,61,20.981474
110.027589,85,21.25156
106.858351,56,21.282329
107.416277,57,21.312997
106.914921,44,21.333501
107.722206,45,21.357154
107.969324,69,21.391682
107.916588,53,21.415136
108.278763,50,21.440911
-47.079733,33,21.455563
107.398076,43,21.47373
107.756584,53,21.727697
107.620603,51,21.753055
-47.291236,19,21.76081
107.764464,46,21.779653
107.333936,42,21.799306
106.563549,142,21.870873
108.761394,51,21.894737
106.963542,39,21.912565
108.641498,61,21.943613
106.398015,40,22.214076
-47.536568,19,22.223718
109.01189,63,22.252404
107.6466,54,22.278207
107.535695,42,22.296846
-44.502913,33,22.311892
107.546643,49,22.334736
107.861218,44,22.354668
107.184034,43,22.376429
107.443768,45,22.400418
107.139075,49,22.424651
108.676407,68,22.699462
107.025655,41,22.720261
107.259007,50,22.75458
106.293175,41,22.777868
107.390929,50,22.798561
107.840598,45,22.818921
107.897763,47,22.840951
108.41475,52,22.863248
106.957665,43,22.882356
107.623344,44,22.905002
107.138834,47,22.926177
108.07873,43,23.176422
107.836915,56,23.200993
106.55094,49,23.223922
107.679344,53,23.248969
107.384798,44,23.273627
107.212915,53,23.297946
107.926694,48,23.32124
106.469242,43,23.342563
107.780083,43,23.362457
107.98658,45,23.381534
107.978311,45,23.404812
107.566978,63,23.665552
107.460798,41,23.686496
-44.923444,32,23.699472
108.213607,56,23.724898
107.067595,39,23.742396
107.558034,47,23.761902
107.007929,38,23.778928
107.997788,48,23.802827
107.536907,53,23.827893
107.746188,46,23.847318
108.069208,47,23.868874
108.216036,48,24.114839
107.83305,50,24.140905
107.40413,42,24.159368
107.161354,42,24.18493
107.114541,37,24.201459
107.827625,56,24.226658
108.304476,47,24.250185
107.071603,37,24.265668
107.615434,47,24.289528
108.078756,58,24.318184
108.437578,46,24.341333
107.853478,54,24.590058
107.467605,45,24.608484
107.337103,40,24.62771
107.508589,52,24.652483
109.657436,56,24.681274
107.27516,43,24.704896
107.555637,42,24.722974
107.813461,47,24.746777
107.673939,47,24.772375
107.040409,38,24.789573
108.957577,51,24.813841
108.602227,48,25.06846
106.862892,36,25.084314
107.754841,41,25.104794
-42.656633,48,25.127165
107.649832,49,25.152875
107.339009,46,25.17248
109.274012,51,25.194626
107.664531,53,25.219204
107.239357,38,25.23469
108.226573,53,25.258061
107.657008,47,25.278853
107.153729,40,25.489109
107.59709,48,25.513259
107.102169,53,25.538319
109.253409,59,25.56524
107.597918,42,25.582512
107.59529,45,25.602188
107.497824,47,25.622683
107.711571,46,25.642659
109.130755,52,25.665778
106.614717,35,25.680721
107.383247,43,25.698751
109.456319,60,25.903596
107.082637,41,25.921042
107.309567,43,25.93976
107.341847,44,25.960055
108.106036,46,25.979734
107.671364,60,26.008308
106.914205,38,26.026592
109.108479,56,26.052861
107.516578,58,26.079689
108.526948,66,26.110418
106.814476,44,26.311372
108.359012,54,26.335647
109.590307,54,26.359539
107.547017,45,26.37943
108.206079,48,26.400202
108.878426,46,26.420952
108.831785,54,26.443997
107.57374,43,26.462091
107.562945,47,26.481305
-48.172723,13,26.487942
107.861668,55,26.510695
107.555429,49,26.700382
106.442513,37,26.715811
107.659243,55,26.74091
109.807251,53,26.763586
107.860577,43,26.781156
108.888905,50,26.802629
108.049672,47,26.823353
-45.121258,29,26.835659
107.363583,39,26.851977
108.353458,47,26.870898
107.272445,46,26.889178
107.739716,49,26.909515
108.740435,47,27.089055
107.569679,44,27.108147
107.212997,44,27.126476
108.656212,73,27.158719
107.480965,42,27.176616
106.864915,38,27.192681
108.122409,52,27.212437
107.996616,55,27.234978
107.474207,37,27.2481
107.641016,43,27.263898
108.081651,47,27.477234
106.397759,35,27.493347
107.131185,39,27.511873
107.638093,37,27.531067
107.836446,43,27.551075
107.135697,39,27.56865
109.187134,61,27.595204
107.772711,48,27.619394
107.161599,49,27.639877
107.819785,40,27.657674
108.068954,52,27.680104
106.890567,40,27.696214
109.512839,54,27.896919
107.226749,38,27.913676
108.95512,49,27.935022
107.795816,42,27.952307
108.68912,49,27.972171
108.176011,50,27.992556
107.240121,38,28.007979
-46.146639,24,28.018518
107.514656,44,28.037264
107.727952,42,28.054109
107.824461,43,28.071473
107.867417,46,28.090542
107.164041,38,28.269868
107.666159,39,28.28479
108.865466,47,28.305983
107.760308,44,28.32529
107.679485,42,28.341557
107.38834,41,28.358401
107.30986,39,28.376195
107.245341,37,28.392085
107.084438,37,28.407496
107.47477,40,28.424905
-48.160451,18,28.432284
109.484701,49,28.453945
108.598916,49,28.474776
108.825316,50,28.675497
106.825685,36,28.692149
107.283836,42,28.711441
108.151084,41,28.728993
-46.305083,19,28.736768
107.567632,38,28.751895
107.545561,42,28.769095
109.357751,54,28.789021
108.541564,45,28.808223
107.616807,39,28.824635
108.141849,48,28.84304
108.80576,48,28.863178
108.499015,43,29.04328
108.435028,48,29.062898
108.142794,40,29.080589
107.726547,41,29.095998
107.388749,40,29.112652
106.810897,36,29.12789
106.905445,37,29.143486
107.087149,42,29.161412
108.621372,52,29.183894
110.042615,48,29.204002
107.254806,36,29.223277
107.494443,42,29.240744
108.596327,49,29.425983
107.317046,42,29.443754
107.244465,41,29.460837
107.040463,37,29.47836
107.801347,41,29.497259
108.581412,69,29.526905
107.819258,48,29.545382
106.98038,39,29.562647
108.222561,41,29.577536
107.989481,46,29.596662
108.717545,42,29.615997
107.483829,44,29.802624
107.983492,52,29.822472
108.658166,46,29.840736
107.756498,43,29.856854
107.781502,41,29.871921
108.299198,49,29.892154
107.149788,38,29.906579
107.643093,43,29.926508
-44.723029,30,29.939382
107.127994,41,29.957826
108.031247,44,29.977776
-45.348838,26,29.988732
107.014359,34,30.004145
107.400168,40,30.188715
107.70913,40,30.206222
106.953379,33,30.221823
106.839727,36,30.238912
107.107753,35,30.254381
107.996844,46,30.274159
108.566527,55,30.297321
107.896518,43,30.314495
108.344369,45,30.33491
107.376421,41,30.352353
107.488527,38,30.366123
107.843792,52,30.388312
107.833537,46,30.580272
106.913488,34,30.593701
106.663371,35,30.608912
108.066966,44,30.626668
106.096055,115,30.672729
107.43096,44,30.691427
-48.154549,13,30.696457
107.118134,38,30.712963
107.865257,44,30.731184
107.843698,48,30.752665
107.397457,37,30.768434
107.604513,38,30.785457
107.77554,41,30.971796
108.698479,44,30.991283
106.718012,32,31.005021
107.523181,41,31.022113
109.098829,47,31.043876
107.767017,41,31.06162
107.819981,42,31.078992
108.118451,40,31.096466
108.676136,46,31.114969
107.032597,39,31.13146
107.829718,42,31.150529
107.316136,36,31.16628
107.778189,43,31.347982
109.05975,44,31.364894
107.800038,38,31.380053
107.87378,40,31.395447
107.228994,40,31.412381
108.533885,44,31.430763
107.575956,38,31.447052
107.481908,37,31.463545
106.591972,35,31.478934
107.720356,55,31.504137
108.149958,53,31.527523
108.374117,53,31.552185
108.034049,45,31.748049
109.2436,57,31.774496
107.875645,40,31.790413
107.703998,41,31.808826
107.899094,41,31.827605
108.329771,42,31.84568
107.749995,39,31.862009
110.052942,55,31.887569
107.597352,38,31.902537
107.70336,44,31.920363
108.383285,38,31.934705
107.056468,40,31.949716
107.241463,35,32.13302
107.317477,54,32.154366
107.602187,37,32.168848
107.542251,51,32.189065
107.440032,43,32.208135
107.485808,39,32.224227
108.198493,45,32.242897
107.613538,39,32.259564
107.675167,53,32.281928
106.990659,36,32.296625
107.645528,43,32.315082
107.059758,37,32.331681
107.676826,42,32.51818
107.333051,38,32.534127
107.145087,38,32.549857
107.148475,37,32.566444
107.513196,37,32.583762
106.738733,35,32.598941
107.258793,36,32.615265
109.237266,48,32.638024
107.263199,39,32.655492
107.499622,56,32.678308
107.725864,42,32.695886
107.516025,56,32.71894
107.936973,44,32.908564
108.001987,45,32.927214
106.719728,32,32.940602
107.897549,39,32.956256
107.486692,41,32.973501
106.952654,36,32.988466
107.362484,38,33.003954
107.78637,41,33.022028
107.063382,36,33.037275
107.203385,41,33.054384
107.417317,55,33.077629
106.32233,35,33.093014
107.734966,41,33.110742
107.146681,37,33.295326
108.252971,43,33.313723
108.92031,49,33.33671
107.733571,38,33.353161
107.355896,37,33.369554
108.676796,43,33.388568
107.84949,44,33.407168
107.542412,39,33.423482
107.675272,43,33.44181
106.724473,40,33.457622
110.153906,51,33.477177
106.800671,35,33.492107
106.887514,33,33.67669
106.816126,39,33.694397
107.111298,36,33.709612
106.989651,63,33.735043
108.516242,55,33.757307
107.972031,49,33.776059
106.5692,35,33.792391
107.216715,33,33.806752
107.61166,38,33.822531
107.002117,35,33.837035
107.214157,35,33.851151
107.110032,40,33.868533
107.659624,40,33.885687
108.210848,52,34.087025
107.374536,44,34.109056
107.343112,45,34.128594
108.727999,59,34.156441
107.589016,39,34.173802
106.740034,46,34.194373
107.990307,47,34.215161
-47.399474,18,34.224052
108.639663,48,34.244275
107.535255,37,34.262181
109.0683,50,34.284065
108.874934,42,34.468679
-44.163591,36,34.485352
106.991667,37,34.501736
107.685864,38,34.51889
107.491231,35,34.53317
107.102895,35,34.547538
107.624473,36,34.561639
108.165022,54,34.585724
108.157131,44,34.605164
108.068176,40,34.622767
108.547516,41,34.641482
108.094761,45,34.661005
108.517368,45,34.680254
107.966676,45,34.870767
107.904536,41,34.88837
109.357156,52,34.911002
108.527299,44,34.930472
108.028392,40,34.947716
107.657827,48,34.968536
107.036054,35,34.982834
108.645413,44,35.002466
107.874305,46,35.021136
108.403768,45,35.040494
107.137689,40,35.056871
108.739502,45,35.24756
107.185422,32,35.262054
108.574957,41,35.279236
107.464601,41,35.312299
107.219385,35,35.341794
107.321065,34,35.359257
108.395383,48,35.407737
107.518065,44,35.43011
107.338082,35,35.445644
107.108468,34,35.489164
107.235545,35,35.507527
107.368922,40,35.532034
107.212371,39,35.58153
-44.971597,31,35.595954
