#{"t_start": 1783500516.9293172, "env_id": "None"}
r,l,t
-47.144488,35,0.021068
-49.570504,34,0.035436
-51.307009,94,0.075121
-45.878322,41,0.09201
-46.275808,93,0.130178
-44.793884,121,0.182345
-48.748225,68,0.212191
-48.173741,43,0.403255
-49.854933,13,0.40939
-48.441278,35,0.423759
-46.779917,65,0.451785
-51.569895,80,0.484908
-48.418712,90,0.524471
-50.772433,98,0.565731
-52.03809,60,0.591392
107.734538,148,0.85895
-52.141834,59,0.883053
106.94316,91,0.921476
-51.836607,16,0.929077
-48.66731,17,0.935571
-48.661851,15,0.941891
-48.150672,62,0.966136
-45.66219,86,1.003103
-48.146802,173,1.246604
-51.501728,42,1.263845
-53.472875,96,1.305909
-45.395677,203,1.393488
-49.185071,131,1.674097
-47.19021,100,1.719214
-48.64514,15,1.726095
2.987035,300,1.85192
108.323261,88,2.066252
-44.899595,114,2.117019
-45.806827,80,2.14896
105.174396,249,2.250628
1.006866,300,2.554507
5.263622,300,2.841719
106.148885,126,2.895217
105.590474,202,2.978562
106.976598,99,3.01764
106.409151,175,3.4482
107.555875,98,3.492679
108.083741,127,3.548308
107.524141,133,3.871422
108.108844,102,3.91521
107.335569,70,3.949034
106.052231,167,4.019625
-46.190844,57,4.044422
106.052314,169,4.438323
106.232638,150,4.527194
-48.760847,176,4.616429
106.498667,129,4.929924
106.449113,169,5.01828
5.687113,300,5.159103
107.174371,68,5.454291
-41.764174,173,5.535411
106.469032,208,5.645564
107.984457,66,5.677157
106.58869,72,6.004894
106.056312,149,6.076997
-46.317302,111,6.131948
108.694735,96,6.184589
-50.623104,34,6.213489
107.458199,93,6.736385
-46.746712,51,6.786754
-49.005646,7,6.789739
105.878268,166,6.883895
106.951229,85,6.930914
107.126141,104,6.997577
106.046382,129,7.445773
106.321563,135,7.522713
-44.470267,165,7.632072
-44.470295,179,8.038581
106.792491,94,8.093928
108.23033,90,8.14971
107.071685,159,8.250827
106.793059,80,8.299676
106.817094,68,8.334798
104.766692,268,8.829258
-44.442394,221,8.979045
108.507073,91,9.338421
107.908194,80,9.388039
107.039211,71,9.433776
108.55421,111,9.502323
106.071485,194,9.628886
106.94041,106,10.058546
106.653323,84,10.107644
106.955008,76,10.152953
109.339381,93,10.217857
-44.30193,88,10.279925
107.32453,98,10.638428
-47.512363,22,10.654077
108.47782,120,10.724889
106.779636,75,10.784379
-46.220832,27,10.800448
108.192534,94,10.852811
-45.160482,207,11.333737
107.861614,86,11.388676
106.8824,87,11.438726
107.011814,140,11.516526
107.731094,78,11.554852
106.588128,90,12.006371
109.52229,85,12.08466
106.848946,84,12.150044
107.380405,67,12.1843
106.350308,168,12.291262
106.866178,69,12.328458
107.295381,97,12.73804
107.458213,94,12.797951
107.060423,71,12.842681
107.863385,89,12.89994
-46.046922,45,12.921964
106.674699,79,12.96876
108.166025,80,13.37191
106.898009,152,13.465742
107.222182,92,13.533433
105.679764,144,13.626059
107.604456,80,13.668232
106.561341,75,14.035041
108.255012,95,14.086889
106.955123,71,14.125951
106.760754,100,14.18054
107.090408,73,14.220579
106.180356,80,14.263827
106.720359,70,14.629281
107.098155,86,14.676084
106.764878,105,14.73202
106.278135,217,14.88572
-43.989888,82,15.230713
106.861149,69,15.276201
109.176224,77,15.321872
106.773308,71,15.363492
107.535514,63,15.393538
107.941402,85,15.435006
107.840172,99,15.484003
106.598775,173,15.947645
105.902711,277,16.07358
107.427776,110,16.350029
-44.470364,168,16.425891
106.371926,60,16.452594
107.427603,53,16.476423
109.445566,84,16.514958
106.558436,57,16.53894
108.440858,69,16.569724
107.392809,105,16.844982
107.628066,66,16.904797
107.543539,62,16.961983
107.467006,73,17.020836
-48.886577,15,17.030612
108.02761,98,17.09661
106.186426,54,17.1564
106.919059,60,17.466243
109.022536,74,17.5181
109.404119,96,17.583019
106.432072,52,17.627048
107.018586,54,17.670376
107.844422,79,17.730416
106.777009,55,17.761674
107.105101,67,17.80037
107.191639,54,18.115455
107.177779,66,18.148312
107.675767,60,18.176979
107.932007,78,18.2146
108.657758,75,18.246964
107.012058,74,18.282228
107.438559,58,18.308479
108.60785,70,18.603558
106.950354,73,18.638135
106.940926,141,18.708083
106.473904,58,18.733395
-45.179144,82,18.770745
107.50269,72,18.804455
107.056232,52,18.827301
106.610755,49,19.025768
108.250537,63,19.052825
107.956936,86,19.087887
107.397059,77,19.121099
106.920607,62,19.149241
107.789475,100,19.192945
107.379256,65,19.220459
107.072557,67,19.44981
-44.834943,47,19.468704
106.915869,98,19.511881
106.754788,56,19.53774
-42.355133,75,19.570003
107.044382,55,19.596569
-43.558568,64,19.630566
108.270303,69,19.663432
107.434841,45,19.88551
107.108705,56,19.916686
-47.198377,24,19.927655
106.888488,56,19.952005
106.979425,54,19.975766
106.74738,59,20.000127
106.812217,74,20.032894
107.250763,58,20.059435
108.477599,72,20.08737
108.040546,62,20.292928
107.426492,72,20.321153
109.524994,83,20.358848
108.971544,68,20.391543
107.293576,63,20.416986
107.905704,74,20.447054
108.530023,60,20.470942
-47.448404,24,20.481802
107.296282,69,20.711209
107.245415,59,20.745878
108.680949,56,20.772852
107.637054,78,20.816813
108.169405,64,20.845585
107.793118,66,20.882088
106.976374,69,20.916362
108.340266,79,20.949322
107.793353,56,21.146528
107.428395,66,21.17242
107.426183,57,21.195645
107.240288,57,21.218493
107.508987,51,21.23899
109.079782,84,21.270145
108.303192,68,21.294271
107.576118,65,21.317254
108.007894,56,21.469225
107.902396,52,21.487565
107.46179,60,21.510275
106.985814,61,21.532061
107.599836,54,21.552174
108.500547,59,21.573595
108.541498,52,21.592843
109.980408,76,21.620607
106.837496,63,21.938851
107.368229,65,21.980813
106.843792,45,22.014795
107.52252,71,22.071818
108.20186,63,22.121672
107.818129,66,22.167978
108.236977,58,22.208341
107.45772,56,22.231397
107.193727,56,22.257885
107.632239,76,23.261662
107.33919,88,23.417333
106.855191,49,23.536731
107.515424,66,23.610391
107.328562,46,23.636693
107.552205,54,23.837076
108.677659,59,23.930171
106.933442,46,24.003778
108.475448,65,24.592269
106.278542,43,24.684207
-47.51567,22,24.721439
108.973461,68,24.832735
107.848888,53,24.928746
107.491206,46,24.990078
-43.37689,75,25.154297
107.615489,54,25.235062
107.61199,62,25.301044
107.295514,49,25.351008
107.544136,48,26.148926
107.045913,47,26.241657
108.741109,58,26.300944
106.953204,46,26.335443
107.218724,53,26.375748
106.242122,40,26.409546
107.013649,80,26.541107
-48.808426,10,26.55341
