#{"t_start": 1783500437.095673, "env_id": "None"}
r,l,t
-51.630595,61,0.699664
-46.460201,43,0.720798
-50.871891,30,0.736033
-51.914007,122,0.790562
-50.499413,35,0.807521
-51.247962,56,0.833773
-50.563394,113,0.884197
-52.060176,21,0.892437
-49.629391,21,0.90235
-46.8739,46,1.176693
-47.091851,108,1.223648
-50.824824,83,1.26333
-47.414775,48,1.288703
-50.382565,71,1.324233
-46.305516,44,1.344569
-49.483967,11,1.349606
-51.221909,114,1.620583
-44.840895,204,1.713802
-49.520003,33,1.727265
1.119022,300,2.067147
-1.406546,300,2.198105
-2.634517,300,2.589968
106.673489,148,2.657897
-1.189639,300,3.005919
2.580325,300,3.140089
3.859794,300,3.507582
-46.603414,195,3.600908
3.312155,300,3.980505
2.211589,300,4.12022
106.000046,87,4.157902
0.065771,300,4.520177
109.068911,125,4.577531
106.930156,142,4.869972
-46.046201,247,4.974906
106.512478,222,5.303729
-45.778892,223,5.404856
-44.666423,145,5.468077
107.336092,105,5.51695
106.283679,97,5.780799
-46.182043,105,5.822692
106.383098,166,5.899964
-46.398139,144,5.968224
107.069252,179,6.275294
-46.777412,171,6.349977
105.851001,245,6.681988
106.788686,196,6.769987
2.937522,300,7.145952
-47.712504,54,7.168503
105.184787,292,7.300374
106.928932,129,7.587476
-51.125196,43,7.609096
106.1259,188,7.696824
106.565223,188,7.776293
105.59325,244,8.101153
106.53134,131,8.16131
-46.802372,62,8.18872
107.956853,112,8.241259
106.01208,151,8.529894
-44.324063,126,8.586147
-44.108577,162,8.657811
105.255509,229,8.985444
107.163139,210,9.076727
105.773706,115,9.130119
106.232852,123,9.414707
-45.705331,95,9.458039
106.573401,169,9.533393
108.006217,87,9.571621
-44.764316,149,9.864154
106.817499,105,9.910915
106.803169,135,9.971441
-42.334781,127,10.026523
105.992001,227,10.347751
105.633285,199,10.437376
3.675558,300,10.812806
105.031634,271,10.933233
106.908806,90,10.975044
3.539048,300,11.338381
106.335926,122,11.390406
105.953157,141,11.451834
-45.063203,87,11.717808
105.555074,151,11.781404
107.289789,66,11.812843
107.599874,91,11.85167
107.10478,64,11.883915
107.142036,139,12.177524
-46.685435,93,12.215935
106.626431,86,12.25269
106.668693,61,12.28249
106.959045,107,12.331489
106.869429,102,12.595521
106.016901,83,12.634136
109.229105,81,12.669782
107.771996,96,12.716124
108.953496,123,12.768654
106.95277,95,12.815311
106.848162,68,13.085124
108.216312,79,13.124112
109.113273,84,13.167607
106.712603,121,13.246996
107.998692,126,13.310772
107.24588,95,13.604619
109.215514,133,13.668567
107.007188,89,13.707897
-45.126092,81,13.745751
108.829818,138,13.807362
108.814968,110,14.080786
108.520056,130,14.136639
107.680296,81,14.170982
106.498509,190,14.248565
106.578194,107,14.521004
-44.672102,187,14.600151
108.551769,89,14.635867
108.312869,88,14.671717
106.631837,70,14.909762
107.217663,67,14.940386
-45.551626,46,14.961984
106.958556,128,15.02867
106.222646,162,15.104367
-45.263497,81,15.140242
107.714945,93,15.470028
107.580363,94,15.5207
106.654453,68,15.557402
