#{"t_start": 1783500516.929842, "env_id": "None"}
r,l,t
-52.789864,43,0.024997
-48.1806,38,0.039616
-51.557077,51,0.061956
-50.914048,82,0.095543
-49.231077,12,0.100163
-50.868864,67,0.128097
-46.53196,66,0.15505
-48.201701,109,0.202874
-48.153842,117,0.427763
-46.058037,75,0.459769
-52.24124,35,0.473766
-45.896931,64,0.500666
-48.633334,16,0.508156
-50.740314,27,0.518781
-48.413747,80,0.553184
-48.699447,49,0.57475
-48.087369,99,0.818899
-48.565532,23,0.830161
-52.782843,241,0.932386
-45.586061,100,0.971855
-48.767834,12,0.97781
-1.550848,300,1.276153
-51.551008,99,1.317469
-47.490612,205,1.407891
5.070304,300,1.760648
105.267019,221,1.854428
0.611042,300,2.158867
-44.142259,136,2.213405
-47.687821,82,2.247716
-41.818882,177,2.500689
-48.20096,124,2.551896
-48.519871,185,2.628865
-44.916705,84,2.827063
-48.379711,51,2.846882
-46.424353,169,2.918155
-44.410977,179,2.992275
-46.907539,214,3.434629
108.189031,74,3.468757
105.831561,185,3.551352
106.647931,284,3.943654
3.526152,300,4.069839
106.919129,68,4.415873
105.117615,183,4.524956
106.388861,190,4.623619
-43.777072,77,4.662548
108.116158,112,4.966456
106.958112,104,5.019876
4.279299,300,5.161055
107.003887,112,5.476629
106.045243,176,5.562321
106.288421,125,5.628455
-44.160945,83,5.670136
-46.120723,209,6.063731
106.625322,137,6.131586
107.354892,93,6.182656
106.962542,79,6.249547
106.746602,120,6.795591
107.56788,107,6.859675
4.083217,300,7.031443
106.132494,158,7.498031
107.492917,65,7.543733
-44.205366,156,7.638138
107.204882,124,7.712699
-50.508017,24,7.730304
106.996877,72,8.071115
107.245339,80,8.115926
106.766442,87,8.177888
106.724117,73,8.221103
105.957173,158,8.315284
106.861122,86,8.686403
107.198941,154,8.769899
106.823198,225,8.936823
107.873746,119,9.315592
-48.066517,29,9.33517
106.89715,70,9.370373
106.998676,96,9.437334
-45.547537,174,9.546133
108.715888,106,9.615672
106.753103,73,10.027189
106.612638,106,10.095426
107.125029,79,10.136357
106.642009,82,10.192813
106.826547,140,10.287372
104.809455,294,10.781655
107.903895,86,10.830653
106.603134,130,10.915388
105.592199,212,11.396158
106.670591,102,11.452249
106.962154,75,11.492792
106.811261,77,11.534739
-48.984281,32,11.550333
