#{"t_start": 1783500481.003017, "env_id": "None"}
r,l,t
-51.103653,23,0.020507
-50.488918,15,0.026946
-48.865149,16,0.033285
-52.166008,51,0.055669
-46.675762,43,0.072428
-49.276638,32,0.085293
-48.71494,11,0.090746
-53.163289,59,0.11519
-48.247436,67,0.145037
-50.988863,18,0.153628
-49.315898,99,0.197468
-44.870627,69,0.228598
-45.712864,55,0.494564
105.902714,166,0.576138
-44.67827,84,0.620949
-46.108199,150,0.692858
-47.090364,37,0.710234
-50.677994,26,0.723069
-47.042027,100,1.012276
106.801074,96,1.058747
-44.900494,110,1.108138
-47.993693,98,1.155443
-52.727646,103,1.200206
-46.499841,224,1.582737
-46.587092,96,1.632495
-48.617464,85,1.681164
-47.69822,46,1.705454
-45.589503,142,2.128523
105.760114,264,2.245218
-1.052927,300,2.803053
-50.077026,15,2.814296
-4.081966,300,2.966823
2.975162,300,3.414376
106.523288,175,3.500063
108.077025,91,3.540642
3.190922,300,3.936043
-46.799704,43,3.958206
-48.448238,70,3.996297
105.228663,214,4.351081
4.378299,300,4.491766
-45.379536,141,4.816203
106.963696,97,4.866319
107.386076,94,4.912505
105.27143,285,5.059309
105.800392,190,5.497959
106.950824,87,5.543691
106.050428,160,5.622157
106.3462,128,5.96169
4.29444,300,6.130187
107.598174,274,6.631733
-44.965182,131,6.695469
107.074501,120,6.756539
-45.044088,106,6.806396
106.719791,76,7.23047
-45.210388,121,7.314085
107.011389,86,7.362935
106.452556,77,7.40441
-44.80713,50,7.427878
-44.871455,102,7.483258
-45.007723,94,7.832589
107.341565,87,7.878903
106.700638,73,7.92553
109.011209,106,7.97773
108.085749,86,8.018281
108.70916,90,8.070334
107.951577,91,8.41681
107.047131,91,8.484089
106.902814,135,8.587484
106.592295,79,8.628379
-44.351973,121,8.686605
107.871966,80,9.003589
107.451286,139,9.088167
107.924189,103,9.148253
107.557809,68,9.18939
106.090138,181,9.582943
107.218883,101,9.641321
-45.331426,121,9.70811
107.642252,95,9.770421
107.061728,107,9.827802
107.115252,69,10.187979
-43.664712,81,10.234032
-44.717062,55,10.258553
107.62343,91,10.305599
108.473661,75,10.343136
107.554616,70,10.376943
106.371237,133,10.743312
106.868464,76,10.782369
107.992791,84,10.830669
105.900783,191,10.932088
108.81569,100,10.98681
107.220083,135,11.357714
107.76323,86,11.405452
108.15233,108,11.598389
107.729237,68,11.649308
107.169261,94,11.714439
-45.608989,41,11.737513
106.779066,133,12.097087
107.533552,90,12.144161
107.426617,81,12.181971
107.035856,78,12.223246
106.853027,85,12.264277
106.35577,237,12.925901
-43.476045,63,12.963329
107.245161,62,12.993862
106.496919,182,13.09289
-46.234058,71,13.595191
106.722935,81,13.644134
106.841774,57,13.678338
106.909424,52,13.720295
107.153178,59,13.746233
108.33828,107,13.798988
105.284803,197,14.203934
107.032099,75,14.251998
107.156583,60,14.295558
