#{"t_start": 1783500516.9283478, "env_id": "None"}
r,l,t
-47.417136,110,0.053409
-48.570987,36,0.068728
-47.805857,25,0.07919
-49.92678,54,0.101016
-49.658133,61,0.126924
-51.085159,54,0.149068
-51.348076,23,0.159002
-50.507451,47,0.180035
-48.910945,59,0.204702
-49.414555,21,0.21475
-43.639259,83,0.422421
-45.88589,57,0.447933
-47.498595,29,0.460617
-44.608624,95,0.500044
-47.799604,119,0.550942
-49.381239,5,0.552901
-51.532668,109,0.600772
-50.399516,26,0.612517
-47.669662,26,0.82568
-45.252191,50,0.846521
-43.978256,91,0.885138
-47.597566,88,0.922234
-46.366356,177,0.996498
-47.749757,185,1.244697
-44.885789,102,1.288885
-45.858725,198,1.371815
-47.252809,38,1.389131
-44.013753,86,1.65253
-45.346546,218,1.745923
-45.383731,81,1.780051
-44.425389,147,1.842722
6.353248,300,2.147411
-45.016823,192,2.225895
-45.371699,195,2.485073
106.122195,261,2.594809
4.553244,300,2.881671
-46.349639,113,2.928896
-45.241066,195,3.008528
106.254168,99,3.401589
105.655533,200,3.493434
105.149283,272,3.878338
107.44152,110,3.923631
-44.569217,106,3.97305
106.519095,134,4.031174
1.809678,300,4.497779
107.467292,119,4.559849
2.92588,300,4.962187
4.552196,300,5.106774
4.09579,300,5.511602
106.294324,188,5.608505
107.092679,105,5.665277
-46.233783,155,6.033225
106.934616,163,6.112245
106.602903,142,6.186439
107.171462,69,6.248257
-46.197707,51,6.733483
108.217007,86,6.803738
106.326524,132,6.879992
106.995592,91,6.92874
-46.329359,95,6.990354
106.871901,67,7.022917
108.340048,99,7.459738
-47.99778,23,7.472438
106.862362,65,7.511194
105.557629,205,7.64301
-47.378725,43,7.667794
-44.582897,205,8.08886
2.748254,300,8.27926
106.865965,114,8.339884
-45.173436,89,8.714358
-43.472238,80,8.756788
-47.044103,36,8.781573
106.965141,74,8.842958
-46.174088,90,8.908478
104.921746,296,9.402611
106.986812,81,9.446978
107.216579,94,9.50801
106.53987,95,9.564759
106.599963,74,9.615548
-44.989934,67,10.020764
106.308171,83,10.073005
106.99974,93,10.126712
107.314392,120,10.2049
107.064243,69,10.255123
106.89047,179,10.668902
-46.725341,101,10.729041
106.966825,57,10.773493
106.553671,81,10.823263
107.078428,95,10.889483
107.041203,85,10.940856
106.272411,63,11.319177
-41.876377,109,11.395805
106.61601,227,11.520723
109.028827,130,11.588816
106.948606,109,12.078256
106.718717,90,12.150252
108.020288,89,12.197403
109.141743,99,12.264743
107.171413,74,12.305818
107.637689,154,12.754333
106.598008,168,12.854812
109.392069,106,12.917762
106.652232,128,12.998342
-43.35542,137,13.432773
109.112566,107,13.498395
108.687552,115,13.581212
108.595471,114,13.651293
107.390021,122,14.041875
-44.972807,279,14.194373
-45.050124,133,14.266277
108.181534,93,14.643497
108.544788,87,14.688911
108.541313,74,14.731103
106.557602,76,14.774158
107.004801,80,14.833903
106.588476,62,14.881749
107.516176,74,15.22661
107.306345,56,15.26004
-47.507331,19,15.27262
107.501725,112,15.3457
107.326092,115,15.3993
106.764094,59,15.429743
-44.437865,67,15.459846
106.708754,64,15.492892
-46.079244,39,15.896287
107.400843,114,15.947173
107.151878,98,15.992666
107.04264,73,16.0268
107.518095,77,16.061927
-44.036928,95,16.102709
106.276384,100,16.373416
107.090583,107,16.422708
107.179574,79,16.458949
107.302094,89,16.498851
106.738973,112,16.548521
106.506977,71,16.798033
107.63299,66,16.826757
-42.590259,77,16.898999
108.439237,93,16.982117
108.533125,81,17.038425
107.591652,68,17.085871
-44.063862,139,17.472329
-43.993726,107,17.543186
108.162331,66,17.592424
107.192462,61,17.638755
107.977913,70,17.706557
107.111655,71,17.74659
108.386881,85,17.798233
106.789568,66,18.118941
107.877595,68,18.15256
-49.082544,10,18.157121
106.687663,47,18.180064
107.375625,60,18.209507
106.685322,63,18.235752
107.699374,75,18.27079
108.052619,64,18.301449
107.336893,66,18.334801
108.223861,69,18.627453
107.211992,105,18.681016
107.167753,79,18.71641
107.831671,82,18.752157
107.715821,76,18.789335
107.922026,71,18.819693
106.939906,60,19.02281
106.411363,46,19.043491
107.696975,59,19.06766
107.399862,56,19.091849
107.391547,56,19.115396
107.552445,55,19.138947
106.370213,52,19.162717
108.021221,68,19.19235
107.414107,69,19.221835
107.137854,51,19.444625
107.4112,53,19.466093
107.143888,48,19.488648
109.199504,64,19.514767
108.797707,72,19.547785
107.809018,71,19.577874
107.50905,56,19.604776
107.398038,69,19.641718
109.453844,70,19.877527
-44.934657,29,19.890464
107.926363,96,19.937945
106.977806,53,19.961978
107.612697,69,19.990858
107.349938,53,20.014547
109.140869,69,20.044612
108.118049,72,20.076121
106.614812,52,20.097158
108.550919,57,20.299472
107.860391,62,20.323745
107.181887,56,20.348684
-46.890006,33,20.366235
107.806472,72,20.397778
107.880877,79,20.43069
107.999552,75,20.460872
109.117256,73,20.491442
107.058564,66,20.723107
108.209305,65,20.755483
107.617091,71,20.794886
107.47986,56,20.825081
106.675929,50,20.847304
107.779791,56,20.877069
107.545335,81,20.918787
107.430339,75,20.950074
-47.484659,20,21.13306
107.128279,50,21.152629
107.87853,75,21.183033
107.051949,46,21.201315
107.420324,71,21.230161
107.438242,61,21.254072
108.753949,61,21.275872
108.281584,69,21.299795
-45.8014,34,21.312253
-46.15725,29,21.322235
107.421056,50,21.472125
107.831709,62,21.494797
107.86097,73,21.52134
107.48401,54,21.541445
