run,size,aug,arch,instance_head,seed,set,agent_center_err,agent_count_ok,agent_f1,agent_precision,agent_recall,group_pairing_ok,heading_err_deg,iou_agent,iou_background,iou_goal_region,iou_obstacle,iou_start_region,iou_wall,miou,n_agents,n_scenes,obst_center_err,obst_count_ok,obst_precision,obst_radius_err,obst_recall,parse_fail,pixacc,region_count_ok,region_iou,scene_usable,wall_iou,wall_surface_err
s128_a2_unet24x4_inst_seed0,128,2,unet24x4,1,0,test,0.10092135123602894,1.0,1.0,1.0,1.0,1.0,2.3385596003741513,0.8583667005282145,0.9976704874991247,0.9990274074818944,0.9779109601566411,0.9827098140154643,0.9962985068763103,0.9684557319678029,4597,1000,0.19512435620740542,1.0,1.0,0.24076962296924784,1.0,0.0,0.997825927734375,1.0,0.9194041434103308,1.0,0.9962985068763103,0.3059198180329986
s128_a2_unet24x4_inst_seed0,128,2,unet24x4,1,0,test_aug3,0.09758473513510757,1.0,1.0,1.0,1.0,0.998,2.412353847127238,0.8449185168707273,0.9951715803034651,0.9973069036259286,0.9717929852711623,0.9796533271962249,0.9930175931127524,0.9633815306860387,4537,1000,0.1529352445465297,1.0,1.0,0.21003000906097763,1.0,0.0,0.9968108520507812,1.0,0.9163143836436357,0.998,0.9930175931127524,0.3122564723598771
s128_a2_unet24x4_inst_seed0,128,2,unet24x4,1,0,test_spacing/gap0.0,0.11217229613546494,0.9166666666666666,0.9911484441484442,0.9994444444444446,0.9844761904761905,1.0,3.7657493661746395,0.8578700218655865,0.9975104214984689,0.9990300926632983,0.9735868481137876,0.9774060667995634,0.996999041563339,0.9669228446101255,1811,300,0.19562518815099553,1.0,1.0,0.24191855879154134,1.0,0.0,0.9975345865885417,1.0,0.9188518572365993,0.9166666666666666,0.996999041563339,0.3041676184317718
s128_a2_unet24x4_inst_seed0,128,2,unet24x4,1,0,test_spacing/gap0.5,0.11020509967622485,0.9233333333333333,0.9929382099382099,1.0,0.9871349206349206,1.0,3.517932770455752,0.8533517393258025,0.997651958445068,0.9995959478634154,0.9714969133003811,0.9783369984554023,0.9962372162764753,0.9659971019345384,1766,300,0.19841758690192568,1.0,1.0,0.23849647906903884,1.0,0.0,0.9975244140625,1.0,0.9185889470986014,0.9233333333333333,0.9962372162764753,0.30400414974428713
s128_a2_unet24x4_inst_seed0,128,2,unet24x4,1,0,test_spacing/gap1.0,0.11173747751110004,0.9233333333333333,0.9924860694860694,1.0,0.9864126984126983,1.0,3.421181033681656,0.8534553057762506,0.9975050064032903,0.9989713619834791,0.9761763519442098,0.9779791241915651,0.9965709218849346,0.966528033857611,1804,300,0.19517256303311473,1.0,1.0,0.24201366258478393,1.0,0.0,0.9974702962239583,1.0,0.9183304323106259,0.9233333333333333,0.9965709218849346,0.3058257741698374
s128_a2_unet24x4_inst_seed0,128,2,unet24x4,1,0,test_spacing/gap2.0,0.10938700863392564,0.92,0.9928029008029008,1.0,0.9870714285714287,1.0,3.4037004358801344,0.855516676707929,0.9973568872588824,0.9985966935205309,0.9695202665774377,0.9774684456033667,0.9967968799768683,0.9658281892926274,1829,300,0.19750156318280987,1.0,1.0,0.23982156928741277,1.0,0.0,0.9974110921223959,1.0,0.9186655540299113,0.92,0.9967968799768683,0.3033092890788491
s128_a2_unet24x4_inst_seed0,128,2,unet24x4,1,0,test_spacing/gap4.0,0.11057408964709703,0.91,0.9915298405298404,1.0,0.9846349206349206,1.0,3.411695276811511,0.8539596394730102,0.9974286228556021,0.9991459285392053,0.9723329457677471,0.9779142583412901,0.9965596679273384,0.9660806644329868,1820,300,0.19449079376833145,1.0,1.0,0.24369921944321116,1.0,0.0,0.9974190266927083,1.0,0.917753763159106,0.91,0.9965596679273384,0.30660420916198444
s128_a2_unet24x4_inst_seed0,128,2,unet24x4,1,0,test_dense,0.10372633835925761,1.0,1.0,1.0,1.0,1.0,2.438377517153893,0.8545958163730463,0.9954460002999129,0.998942949435686,0.9843844110743283,0.9435005871787258,0.9969894650059691,0.962296695549382,4092,300,0.19179238594871634,1.0,1.0,0.24316671240460705,1.0,0.0,0.99509765625,1.0,0.9105828131191246,1.0,0.9969894650059691,0.30696032153597724
s128_a2_unet24x4_inst_seed1,128,2,unet24x4,1,1,test,0.13213679456134622,1.0,1.0,1.0,1.0,1.0,1.3425939969709801,0.8448737768825538,0.9974536959443241,0.9972948979399548,0.9862733670154811,0.9801852151405408,0.9963320724541995,0.9665700896066461,4597,1000,0.17788156504767821,1.0,1.0,0.2541587758230724,1.0,0.0,0.99765380859375,1.0,0.9151879592752987,1.0,0.9963320724541995,0.3041383120813407
s128_a2_unet24x4_inst_seed1,128,2,unet24x4,1,1,test_aug3,0.10498181661090174,1.0,1.0,1.0,1.0,0.982,1.4543620194391134,0.8395241730482389,0.9880995423877068,0.9949910926320683,0.9716905119801519,0.9671807336974073,0.9921485008778577,0.9586257508670581,4537,1000,0.13166119287531106,1.0,1.0,0.22067787615108908,1.0,0.0,0.993037841796875,1.0,0.8997026983543073,0.982,0.9921485008778577,0.3121467917924747
